StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your Team ID below to verify your identity.,Do you vote to change the order in which players are signed in free agency from Alphabetical to a different system?,"If the free agency order is changed, what should it be changed to?","Do you vote to change how the League Tax funds are used?


Current system: 100% of tax funds go to a charity chosen by the champion.

Proposed change: Funds first cover the Fantrax fee and League Trophy, and the remaining amount is split 50/50 between a charity and non-tax teams.","Do you vote to change the current Fantrax roster setup from:


17 players total → 8 starters, 14 bench, 3 IR
to:

17 players total → 8 starters, 6 bench, 3 IR


This change aims to ensure all teams can fill a legal starting lineup to help prevent tanking."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}"
2025-06-19 09:48:32,2025-06-19 09:48:56,0,136.36.251.184,100,23,1,2025-06-19 09:48:56,R_3fGUu7VO1VEjmq7,,,,,40.699,-111.841,anonymous,EN,M8n43ZSLcJGCfWeF0RFn,1,2,2,1
2025-06-19 10:20:24,2025-06-19 10:21:11,0,172.59.155.184,100,47,1,2025-06-19 10:21:12,R_5y3lZyTD7mo2rz7,,,,,40.7143,-111.8894,anonymous,EN,BzyHZbJO6jiPO80dACaC,1,2,1,1
2025-06-19 10:21:11,2025-06-19 10:21:56,0,136.226.54.184,100,45,1,2025-06-19 10:21:57,R_7hV3oXeYUNZdzEd,,,,,47.6109,-122.3303,anonymous,EN,A8FpUrhgzTRMN1IOK4O9,1,1,1,1
2025-06-19 10:22:05,2025-06-19 10:23:12,0,69.162.249.202,100,67,1,2025-06-19 10:23:13,R_3Nyrvt8NV0PdefV,,,,,40.3693,-111.7408,anonymous,EN,NPme2qXwpi0LBcY73EFF,1,2,1,1
2025-06-19 10:34:45,2025-06-19 10:36:03,0,108.147.92.28,100,78,1,2025-06-19 10:36:03,R_3JaIofqmft7Nup3,,,,,41.7697,-87.6985,anonymous,EN,jsY6XYU5mzjSk7laetU3,1,2,1,1
2025-06-19 10:35:50,2025-06-19 10:40:15,0,172.226.136.25,100,265,1,2025-06-19 10:40:15,R_5h8DF6UHLUnQeGt,,,,,39.6511,-104.9921,anonymous,EN,ZSHHRH81oj8sMcEdoY1l,1,1,1,2
2025-06-19 11:09:19,2025-06-19 11:10:01,0,172.56.46.78,100,41,1,2025-06-19 11:10:02,R_5N5ig8f2Pn2WJfb,,,,,37.7308,-122.3838,anonymous,EN,MJ41zvbgwrKeZoTB7BWS,1,2,1,1
2025-06-19 12:07:16,2025-06-19 12:09:49,0,62.49.141.58,100,153,1,2025-06-19 12:09:50,R_21BGAoRDaSHL9RF,,,,,51.5263,-0.3559,anonymous,EN,MQwfNLhUakQ13r7Ft1M4,1,1,2,1
