Round,Type,Year,Period,TeamA,TeamB,TeamAScore,TeamBScore,DivisionGame,ConferenceGame,Game_ID,RoadJersey,HomeJersey,JerseyClashAdjusted
Regular,Regular Season,2027,1,Tulsa,St. Louis,0.0,0.0,1,1,2027_001,Statement,Association,False
Regular,Regular Season,2027,1,San Diego,Seattle,0.0,0.0,0,1,2027_002,Icon,Association,False
Regular,Regular Season,2027,1,Honolulu,Anchorage,0.0,0.0,0,1,2027_003,Icon,Statement,False
Regular,Regular Season,2027,1,San Jose,Des Moines,0.0,0.0,0,0,2027_004,Icon,Association,False
Regular,Regular Season,2027,1,El Paso,Nashville,0.0,0.0,0,0,2027_005,Statement,Association,False
Regular,Regular Season,2027,1,Vegas,Manchester,0.0,0.0,0,0,2027_006,Icon,Association,False
Regular,Regular Season,2027,1,Vancouver,Baltimore,0.0,0.0,0,0,2027_007,Statement,Association,False
Regular,Regular Season,2027,1,Anaheim,Tampa Bay,0.0,0.0,0,0,2027_008,Icon,Statement,True
Regular,Regular Season,2027,1,Boise,Columbus,0.0,0.0,0,0,2027_009,Icon,Association,False
Regular,Regular Season,2027,1,Lincoln,Buffalo,0.0,0.0,0,0,2027_010,Icon,Association,False
Regular,Regular Season,2027,1,Albuquerque,Birmingham,0.0,0.0,0,0,2027_011,Statement,Association,False
Regular,Regular Season,2027,1,Austin,Little Rock,0.0,0.0,0,0,2027_012,Statement,Association,False
Regular,Regular Season,2027,1,Lansing,Cincinnati,0.0,0.0,1,1,2027_013,Icon,Association,False
Regular,Regular Season,2027,1,Kentucky,Pittsburgh,0.0,0.0,0,1,2027_014,Icon,Statement,False
Regular,Regular Season,2027,1,Jacksonville,Providence,0.0,0.0,0,1,2027_015,Icon,Association,False
Regular,Regular Season,2027,1,Tulsa,Providence,0.0,0.0,0,0,2027_016,Association,Statement,True
Regular,Regular Season,2027,1,Pittsburgh,Jacksonville,0.0,0.0,0,1,2027_017,Statement,Association,False
Regular,Regular Season,2027,1,Cincinnati,Kentucky,0.0,0.0,1,1,2027_018,Statement,Association,False
Regular,Regular Season,2027,1,Little Rock,Lansing,0.0,0.0,0,1,2027_019,Icon,Association,False
Regular,Regular Season,2027,1,Birmingham,Austin,0.0,0.0,0,0,2027_020,Statement,Statement,False
Regular,Regular Season,2027,1,Buffalo,Albuquerque,0.0,0.0,0,0,2027_021,Icon,Association,False
Regular,Regular Season,2027,1,Columbus,Lincoln,0.0,0.0,0,0,2027_022,Icon,Association,False
Regular,Regular Season,2027,1,Tampa Bay,Boise,0.0,0.0,0,0,2027_023,Icon,Statement,False
Regular,Regular Season,2027,1,Baltimore,Anaheim,0.0,0.0,0,0,2027_024,Icon,Association,False
Regular,Regular Season,2027,1,Manchester,Vancouver,0.0,0.0,0,0,2027_025,Icon,Association,False
Regular,Regular Season,2027,1,Nashville,Vegas,0.0,0.0,0,0,2027_026,Icon,Association,False
Regular,Regular Season,2027,1,Des Moines,El Paso,0.0,0.0,0,0,2027_027,Icon,Statement,False
Regular,Regular Season,2027,1,Anchorage,San Jose,0.0,0.0,0,1,2027_028,Icon,Association,False
Regular,Regular Season,2027,1,Seattle,Honolulu,0.0,0.0,0,1,2027_029,Icon,Association,False
Regular,Regular Season,2027,1,St. Louis,San Diego,0.0,0.0,0,1,2027_030,Icon,Association,False
Regular,Regular Season,2027,2,Tulsa,Kentucky,0.0,0.0,0,0,2027_031,Icon,Association,False
Regular,Regular Season,2027,2,Jacksonville,Lansing,0.0,0.0,0,1,2027_032,Statement,Association,False
Regular,Regular Season,2027,2,Providence,Austin,0.0,0.0,0,0,2027_033,Icon,Association,False
Regular,Regular Season,2027,2,Pittsburgh,Albuquerque,0.0,0.0,0,0,2027_034,Icon,Statement,False
Regular,Regular Season,2027,2,Cincinnati,Lincoln,0.0,0.0,0,0,2027_035,Icon,Association,False
Regular,Regular Season,2027,2,Little Rock,Boise,0.0,0.0,0,0,2027_036,Icon,Association,False
Regular,Regular Season,2027,2,Birmingham,Anaheim,0.0,0.0,0,0,2027_037,Statement,Association,False
Regular,Regular Season,2027,2,Buffalo,Vancouver,0.0,0.0,0,0,2027_038,Statement,Association,False
Regular,Regular Season,2027,2,Columbus,Vegas,0.0,0.0,0,0,2027_039,Statement,Association,False
Regular,Regular Season,2027,2,Tampa Bay,El Paso,0.0,0.0,0,0,2027_040,Statement,Association,False
Regular,Regular Season,2027,2,Baltimore,San Jose,0.0,0.0,0,0,2027_041,Icon,Association,False
Regular,Regular Season,2027,2,Manchester,Honolulu,0.0,0.0,0,0,2027_042,Icon,Association,False
Regular,Regular Season,2027,2,Nashville,San Diego,0.0,0.0,0,0,2027_043,Icon,Association,False
Regular,Regular Season,2027,2,Des Moines,St. Louis,0.0,0.0,0,0,2027_044,Icon,Association,False
Regular,Regular Season,2027,2,Anchorage,Seattle,0.0,0.0,1,1,2027_045,Icon,Association,False
Regular,Regular Season,2027,2,Des Moines,Tulsa,0.0,0.0,0,0,2027_046,Icon,Association,False
Regular,Regular Season,2027,2,Nashville,Anchorage,0.0,0.0,0,0,2027_047,Icon,Association,False
Regular,Regular Season,2027,2,Manchester,Seattle,0.0,0.0,0,0,2027_048,Icon,Association,True
Regular,Regular Season,2027,2,Baltimore,St. Louis,0.0,0.0,0,0,2027_049,Icon,Statement,False
Regular,Regular Season,2027,2,Tampa Bay,San Diego,0.0,0.0,0,0,2027_050,Statement,Association,False
Regular,Regular Season,2027,2,Columbus,Honolulu,0.0,0.0,0,0,2027_051,Icon,Association,False
Regular,Regular Season,2027,2,Buffalo,San Jose,0.0,0.0,0,0,2027_052,Icon,Association,False
Regular,Regular Season,2027,2,Birmingham,El Paso,0.0,0.0,0,0,2027_053,Icon,Association,False
Regular,Regular Season,2027,2,Little Rock,Vegas,0.0,0.0,0,0,2027_054,Icon,Association,False
Regular,Regular Season,2027,2,Cincinnati,Vancouver,0.0,0.0,0,0,2027_055,Statement,Association,False
Regular,Regular Season,2027,2,Pittsburgh,Anaheim,0.0,0.0,0,0,2027_056,Icon,Association,False
Regular,Regular Season,2027,2,Providence,Boise,0.0,0.0,0,0,2027_057,Icon,Statement,False
Regular,Regular Season,2027,2,Jacksonville,Lincoln,0.0,0.0,0,0,2027_058,Statement,Association,False
Regular,Regular Season,2027,2,Kentucky,Albuquerque,0.0,0.0,0,0,2027_059,Statement,Association,False
Regular,Regular Season,2027,2,Lansing,Austin,0.0,0.0,0,0,2027_060,Icon,Association,False
Regular,Regular Season,2027,3,Seattle,Tulsa,0.0,0.0,0,1,2027_061,Statement,Association,False
Regular,Regular Season,2027,3,Anchorage,St. Louis,0.0,0.0,0,1,2027_062,Icon,Association,False
Regular,Regular Season,2027,3,Des Moines,San Diego,0.0,0.0,0,0,2027_063,Icon,Association,False
Regular,Regular Season,2027,3,Nashville,Honolulu,0.0,0.0,0,0,2027_064,Icon,Association,False
Regular,Regular Season,2027,3,Manchester,San Jose,0.0,0.0,0,0,2027_065,Statement,Statement,False
Regular,Regular Season,2027,3,Baltimore,El Paso,0.0,0.0,0,0,2027_066,Icon,Association,False
Regular,Regular Season,2027,3,Tampa Bay,Vegas,0.0,0.0,0,0,2027_067,Icon,Association,False
Regular,Regular Season,2027,3,Columbus,Vancouver,0.0,0.0,0,0,2027_068,Icon,Association,False
Regular,Regular Season,2027,3,Buffalo,Anaheim,0.0,0.0,0,0,2027_069,Statement,Association,False
Regular,Regular Season,2027,3,Birmingham,Boise,0.0,0.0,0,0,2027_070,Icon,Statement,False
Regular,Regular Season,2027,3,Little Rock,Lincoln,0.0,0.0,0,0,2027_071,Icon,Association,False
Regular,Regular Season,2027,3,Cincinnati,Albuquerque,0.0,0.0,0,0,2027_072,Icon,Association,False
Regular,Regular Season,2027,3,Pittsburgh,Austin,0.0,0.0,0,0,2027_073,Icon,Association,False
Regular,Regular Season,2027,3,Providence,Lansing,0.0,0.0,0,1,2027_074,Statement,Statement,False
Regular,Regular Season,2027,3,Jacksonville,Kentucky,0.0,0.0,0,1,2027_075,Icon,Association,False
Regular,Regular Season,2027,3,Honolulu,Tulsa,0.0,0.0,0,1,2027_076,Icon,Association,False
Regular,Regular Season,2027,3,San Diego,San Jose,0.0,0.0,1,1,2027_077,Statement,Association,False
Regular,Regular Season,2027,3,St. Louis,El Paso,0.0,0.0,1,1,2027_078,Icon,Association,False
Regular,Regular Season,2027,3,Seattle,Vegas,0.0,0.0,0,1,2027_079,Icon,Association,False
Regular,Regular Season,2027,3,Anchorage,Vancouver,0.0,0.0,1,1,2027_080,Statement,Statement,False
Regular,Regular Season,2027,3,Des Moines,Anaheim,0.0,0.0,0,0,2027_081,Icon,Association,False
Regular,Regular Season,2027,3,Nashville,Boise,0.0,0.0,0,0,2027_082,Statement,Association,False
Regular,Regular Season,2027,3,Manchester,Lincoln,0.0,0.0,0,0,2027_083,Statement,Statement,False
Regular,Regular Season,2027,3,Baltimore,Albuquerque,0.0,0.0,0,0,2027_084,Icon,Statement,False
Regular,Regular Season,2027,3,Tampa Bay,Austin,0.0,0.0,0,0,2027_085,Icon,Association,False
Regular,Regular Season,2027,3,Columbus,Lansing,0.0,0.0,1,1,2027_086,Icon,Association,False
Regular,Regular Season,2027,3,Buffalo,Kentucky,0.0,0.0,0,1,2027_087,Icon,Association,False
Regular,Regular Season,2027,3,Birmingham,Jacksonville,0.0,0.0,1,1,2027_088,Icon,Statement,False
Regular,Regular Season,2027,3,Little Rock,Providence,0.0,0.0,0,1,2027_089,Icon,Association,False
Regular,Regular Season,2027,3,Cincinnati,Pittsburgh,0.0,0.0,0,1,2027_090,Icon,Statement,True
Regular,Regular Season,2027,4,Tulsa,Anaheim,0.0,0.0,0,1,2027_091,Statement,Statement,False
Regular,Regular Season,2027,4,Boise,Vancouver,0.0,0.0,1,1,2027_092,Statement,Association,False
Regular,Regular Season,2027,4,Lincoln,Vegas,0.0,0.0,0,1,2027_093,Icon,Association,False
Regular,Regular Season,2027,4,Albuquerque,El Paso,0.0,0.0,1,1,2027_094,Icon,Association,False
Regular,Regular Season,2027,4,Austin,San Jose,0.0,0.0,0,1,2027_095,Icon,Association,False
Regular,Regular Season,2027,4,Lansing,Honolulu,0.0,0.0,0,0,2027_096,Icon,Association,False
Regular,Regular Season,2027,4,Kentucky,San Diego,0.0,0.0,0,0,2027_097,Icon,Association,False
Regular,Regular Season,2027,4,Jacksonville,St. Louis,0.0,0.0,0,0,2027_098,Statement,Association,False
Regular,Regular Season,2027,4,Providence,Seattle,0.0,0.0,0,0,2027_099,Icon,Association,False
Regular,Regular Season,2027,4,Pittsburgh,Anchorage,0.0,0.0,0,0,2027_100,Icon,Association,False
Regular,Regular Season,2027,4,Cincinnati,Des Moines,0.0,0.0,1,1,2027_101,Statement,Association,False
Regular,Regular Season,2027,4,Little Rock,Nashville,0.0,0.0,1,1,2027_102,Icon,Association,False
Regular,Regular Season,2027,4,Birmingham,Manchester,0.0,0.0,0,1,2027_103,Icon,Association,False
Regular,Regular Season,2027,4,Buffalo,Baltimore,0.0,0.0,1,1,2027_104,Icon,Statement,False
Regular,Regular Season,2027,4,Columbus,Tampa Bay,0.0,0.0,0,1,2027_105,Icon,Association,False
Regular,Regular Season,2027,4,Tulsa,Baltimore,0.0,0.0,0,0,2027_106,Icon,Statement,False
Regular,Regular Season,2027,4,Manchester,Tampa Bay,0.0,0.0,0,1,2027_107,Icon,Association,False
Regular,Regular Season,2027,4,Nashville,Columbus,0.0,0.0,0,1,2027_108,Statement,Statement,False
Regular,Regular Season,2027,4,Des Moines,Buffalo,0.0,0.0,0,1,2027_109,Icon,Association,False
Regular,Regular Season,2027,4,Anchorage,Birmingham,0.0,0.0,0,0,2027_110,Icon,Association,False
Regular,Regular Season,2027,4,Seattle,Little Rock,0.0,0.0,0,0,2027_111,Icon,Association,False
