"fantraxId","name","nba_team","position"
"000zv","Al Horford","GS","PF,C"
"0011e","LeBron James","PHI","SF,PF"
"0015b","Kyle Lowry","(N/A)","PG"
"0015e","Mike Conley","BOS","PG"
"0017e","Chris Paul","(N/A)","PG"
"001aw","Kevin Durant","HOU","SG,SF,PF"
"001ax","Jeff Green","(N/A)","PF"
"005kc","Russell Westbrook","(N/A)","PG,SG"
"005kd","Kevin Love","(N/A)","PF,C"
"005kf","Eric Gordon","(N/A)","SG,SF"
"005ki","Brook Lopez","LAC","C"
"005l0","Nicolas Batum","(N/A)","PF"
"005l3","DeAndre Jordan","NO","C"
"005lo","Serge Ibaka","(N/A)","PF,C"
"01en7","James Johnson","(N/A)","PF"
"01en8","Taj Gibson","(N/A)","C"
"01enh","Stephen Curry","GS","PG"
"01enu","Brandon Jennings","(N/A)","PG"
"01eo6","James Harden","CLE","PG,SG"
"01eo9","Jrue Holiday","POR","PG,SG"
"01eog","Patty Mills","(N/A)","PG"
"01eoh","Tyreke Evans","(N/A)","PG,SG"
"01eon","DeMar DeRozan","DEN","SF,PF"
"01ng2","Garrett Temple","(N/A)","SG"
"01sc8","John Wall","(N/A)","PG"
"01uyd","Avery Bradley","(N/A)","SG"
"01uyg","Greg Monroe","(N/A)","C"
"01uyj","Paul George","BOS","SF,PF"
"01uyk","Al-Farouq Aminu","(N/A)","SF,PF"
"01uyt","Derrick Favors","(N/A)","PF,C"
"01uyx","Eric Bledsoe","(N/A)","PG"
"01uz3","DeMarcus Cousins","(N/A)","C"
"01uz7","Gordon Hayward","(N/A)","SF"
"01uza","Lance Stephenson","(N/A)","SF"
"01uzb","Devin Ebanks","(N/A)","SG,SF"
"01uzm","Tiny Gallon","(N/A)","PF"
"027oj","Kyrie Irving","DAL","PG,SG"
"027om","Tristan Thompson","(N/A)","C"
"027oo","Jonas Valanciunas","(N/A)","C"
"027oq","Bismack Biyombo","(N/A)","C"
"027or","Brandon Knight","(N/A)","PG,SG"
"027ou","Klay Thompson","MIA","SG,SF"
"027ov","Alec Burks","(N/A)","SG"
"027ox","Markieff Morris","(N/A)","PF"
"027oy","Marcus Morris","(N/A)","PF"
"027oz","Kawhi Leonard","TOR","SF,PF"
"027p0","Nikola Vucevic","ORL","C"
"027p1","Iman Shumpert","(N/A)","SG,SF"
"027p2","Enes Kanter","(N/A)","C"
"027p4","Tobias Harris","SA","PF"
"027p5","Donatas Motiejunas","(N/A)","PF,C"
"027p7","Kenneth Faried","(N/A)","PF,C"
"027p8","Nikola Mirotic","(N/A)","SF,PF"
"027p9","Reggie Jackson","(N/A)","PG"
"027pe","Jimmy Butler","GS","SF,PF"
"027pf","Cory Joseph","(N/A)","PG"
"027pj","Shelvin Mack","(N/A)","PG"
"027pk","Tyler Honeycutt","(N/A)","SF"
"027pq","Darius Morris","(N/A)","PG,SG"
"027pt","Davis Bertans","(N/A)","PF"
"02j7d","D.J. Kennedy","(N/A)","SG,SF"
"02nf1","Anthony Davis","WAS","PF,C"
"02nf2","Michael Kidd-Gilchrist","(N/A)","SF"
"02nf3","Bradley Beal","LAC","SG"
"02nf4","Dion Waiters","(N/A)","SG,SF"
"02nf6","Damian Lillard","POR","PG"
"02nf7","Harrison Barnes","SA","SF,PF"
"02nf9","Andre Drummond","NY","C"
"02nfa","Austin Rivers","(N/A)","SG"
"02nfb","Meyers Leonard","(N/A)","C"
"02nfc","Jeremy Lamb","(N/A)","SG"
"02nfe","John Henson","(N/A)","PF,C"
"02nff","Maurice Harkless","(N/A)","SF"
"02nfi","Terrence Jones","HOU","SF,PF"
"02nfk","Evan Fournier","(N/A)","SG"
"02nfl","Jared Sullinger","(N/A)","PF,C"
"02nfm","Fab Melo","(N/A)","C"
"02nfn","John Jenkins","(N/A)","SG,SF"
"02nfo","Jared Cunningham","(N/A)","PG,SG"
"02nfp","Tony Wroten","(N/A)","PG,SG"
"02nfs","Perry Jones","(N/A)","SF,PF"
"02nft","Marquis Teague","(N/A)","PG"
"02nfu","Festus Ezeli","(N/A)","C"
"02nfw","Tomas Satoransky","(N/A)","SG"
"02nfy","Jae Crowder","(N/A)","PF"
"02nfz","Draymond Green","GS","PF,C"
"02ng1","Quincy Acy","(N/A)","SF,PF"
"02ng3","Khris Middleton","WAS","SF,PF"
