Year,Player ID,Player,Player Key,Team,Amount,Source
2021,03al0,Aaron Gordon,aaron gordon,Vancouver,19000000,Fantrax alumni salary snapshot
2021,04qs0,Aaron Holiday,aaron holiday,Manchester,1620564,Fantrax alumni salary snapshot
2021,05qt4,Aaron Nesmith,aaron nesmith,Birmingham,3000000,Fantrax alumni salary snapshot
2021,042oh,Abdel Nader,abdel nader,Anaheim,1517981,Fantrax alumni salary snapshot
2021,051pm,Admiral Schofield,admiral schofield,Birmingham,1445697,Fantrax alumni salary snapshot
2021,000zv,Al Horford,al horford,Lansing,12000000,Fantrax alumni salary snapshot
2021,027ov,Alec Burks,alec burks,Tampa Bay,2520000,Fantrax alumni salary snapshot
2021,05qud,Aleksej Pokusevski,aleksej pokusevski,Little Rock,4333335,Fantrax alumni salary snapshot
2021,0496e,Alex Caruso,alex caruso,Little Rock,3100000,Fantrax alumni salary snapshot
2021,031ls,Alex Len,alex len,Birmingham,1620563,Fantrax alumni salary snapshot
2021,04qsq,Alize Johnson,alize johnson,San Diego,1517981,Fantrax alumni salary snapshot
2021,02nf9,Andre Drummond,andre drummond,Providence,28000000,Fantrax alumni salary snapshot
2021,0018m,Andre Iguodala,andre iguodala,El Paso,5550000,Fantrax alumni salary snapshot
2021,031md,Andre Roberson,andre roberson,El Paso,1620564,Fantrax alumni salary snapshot
2021,02ym0,Andrew Wiggins,andrew wiggins,Boise,13131313,Fantrax alumni salary snapshot
2021,04qs1,Anfernee Simons,anfernee simons,Tulsa,4078450,Fantrax alumni salary snapshot
2021,02nf1,Anthony Davis,anthony davis,Vancouver,32742000,Fantrax alumni salary snapshot
2021,05qug,Anthony Edwards,anthony edwards,Tulsa,27285000,Fantrax alumni salary snapshot
2021,02yf5,Aron Baynes,aron baynes,Austin,11000000,Fantrax alumni salary snapshot
2021,02nfa,Austin Rivers,austin rivers,El Paso,5500000,Fantrax alumni salary snapshot
2021,01uyd,Avery Bradley,avery bradley,Columbus,3800000,Fantrax alumni salary snapshot
2021,04ewf,Bam Adebayo,bam adebayo,Anchorage,27285000,Fantrax alumni salary snapshot
2021,031lu,Ben McLemore,ben mclemore,Boise,1620564,Fantrax alumni salary snapshot
2021,03lg1,Ben Simmons,ben simmons,Jacksonville,27285000,Fantrax alumni salary snapshot
2021,027oq,Bismack Biyombo,bismack biyombo,Albuquerque,1620564,Fantrax alumni salary snapshot
2021,01enn,Blake Griffin,blake griffin,Austin,18925000,Fantrax alumni salary snapshot
2021,03scs,Boban Marjanovic,boban marjanovic,St. Louis,3600000,Fantrax alumni salary snapshot
2021,03nwn,Bobby Portis,bobby portis,Tampa Bay,1620564,Fantrax alumni salary snapshot
2021,03e6u,Bogdan Bogdanovic,bogdan bogdanovic,Albuquerque,20000000,Fantrax alumni salary snapshot
2021,027pg,Bojan Bogdanovic,bojan bogdanovic,San Diego,16000000,Fantrax alumni salary snapshot
2021,051po,Bol Bol,bol bol,Des Moines,1740000,Fantrax alumni salary snapshot
2021,02gxr,Brad Wanamaker,brad wanamaker,St. Louis,3600000,Fantrax alumni salary snapshot
2021,02nf3,Bradley Beal,bradley beal,Honolulu,32742000,Fantrax alumni salary snapshot
2021,051p1,Brandon Clarke,brandon clarke,Manchester,18000000,Fantrax alumni salary snapshot
2021,04w4b,Brandon Goodwin,brandon goodwin,San Diego,1517981,Fantrax alumni salary snapshot
2021,042n1,Brandon Ingram,brandon ingram,Jacksonville,27285000,Fantrax alumni salary snapshot
2021,005ki,Brook Lopez,brook lopez,Kentucky,16500000,Fantrax alumni salary snapshot
2021,04qsj,Bruce Brown,bruce brown,Honolulu,1620564,Fantrax alumni salary snapshot
2021,04847,Bryn Forbes,bryn forbes,Jacksonville,3919000,Fantrax alumni salary snapshot
2021,042n3,Buddy Hield,buddy hield,Vancouver,22000000,Fantrax alumni salary snapshot
2021,05quc,CJ Elleby,cj elleby,Kentucky,898310,Fantrax alumni salary snapshot
2021,031lx,CJ McCollum,cj mccollum,St. Louis,32742000,Fantrax alumni salary snapshot
2021,055qo,Caleb Martin,caleb martin,St. Louis,1445697,Fantrax alumni salary snapshot
2021,051oq,Cam Reddish,cam reddish,Little Rock,6158000,Fantrax alumni salary snapshot
2021,051or,Cameron Johnson,cameron johnson,Baltimore,6000070,Fantrax alumni salary snapshot
2021,03r7e,Cameron Payne,cameron payne,Baltimore,1620564,Fantrax alumni salary snapshot
2021,042nf,Caris LeVert,caris levert,Cincinnati,16000000,Fantrax alumni salary snapshot
2021,00129,Carmelo Anthony,carmelo anthony,Albuquerque,4500000,Fantrax alumni salary snapshot
2021,051pd,Carsen Edwards,carsen edwards,Birmingham,1445697,Fantrax alumni salary snapshot
2021,05qt8,Cassius Stanley,cassius stanley,Boise,898311,Fantrax alumni salary snapshot
2021,05qua,Cassius Winston,cassius winston,Kentucky,898310,Fantrax alumni salary snapshot
2021,03r7m,Cedi Osman,cedi osman,Albuquerque,2000000,Fantrax alumni salary snapshot
2021,04qrz,Chandler Hutchison,chandler hutchison,Vegas,1620564,Fantrax alumni salary snapshot
2021,03llu,Cheick Diallo,cheick diallo,Kentucky,1620564,Fantrax alumni salary snapshot
2021,04qsp,Chimezie Metu,chimezie metu,Kentucky,1620564,Fantrax alumni salary snapshot
2021,04fj8,Chris Boucher,chris boucher,Little Rock,3100000,Fantrax alumni salary snapshot
2021,0017e,Chris Paul,chris paul,Vegas,38199000,Fantrax alumni salary snapshot
2021,03nwq,Christian Wood,christian wood,Nashville,21000500,Fantrax alumni salary snapshot
2021,051ow,Chuma Okeke,chuma okeke,Honolulu,5500001,Fantrax alumni salary snapshot
2021,03e6s,Clint Capela,clint capela,Seattle,13743210,Fantrax alumni salary snapshot
2021,051on,Coby White,coby white,Boise,14515000,Fantrax alumni salary snapshot
2021,051pg,Cody Martin,cody martin,Lincoln,1517981,Fantrax alumni salary snapshot
2021,031lr,Cody Zeller,cody zeller,Tampa Bay,3200000,Fantrax alumni salary snapshot
2021,05qtl,Cole Anthony,cole anthony,Honolulu,5500001,Fantrax alumni salary snapshot
2021,04qrm,Collin Sexton,collin sexton,San Jose,12500000,Fantrax alumni salary snapshot
2021,027pf,Cory Joseph,cory joseph,Pittsburgh,2600000,Fantrax alumni salary snapshot
2021,03ad4,D'Angelo Russell,dangelo russell,Manchester,27285000,Fantrax alumni salary snapshot
2021,005kh,D.J. Augustin,dj augustin,Pittsburgh,4258000,Fantrax alumni salary snapshot
2021,04ewi,D.J. Wilson,dj wilson,Manchester,1620563,Fantrax alumni salary snapshot
2021,02nf6,Damian Lillard,damian lillard,Baltimore,32742000,Fantrax alumni salary snapshot
2021,0484l,Damion Lee,damion lee,Jacksonville,1678854,Fantrax alumni salary snapshot
2021,051pi,Daniel Gafford,daniel gafford,Honolulu,1600000,Fantrax alumni salary snapshot
2021,04hoo,Daniel Theis,daniel theis,Columbus,11333335,Fantrax alumni salary snapshot
2021,005ke,Danilo Gallinari,danilo gallinari,Vegas,20000000,Fantrax alumni salary snapshot
2021,01ena,Danny Green,danny green,Anaheim,12000000,Fantrax alumni salary snapshot
2021,04849,Danuel House,danuel house,Manchester,6200104,Fantrax alumni salary snapshot
2021,03acy,Dario Saric,dario saric,Seattle,4491550,Fantrax alumni salary snapshot
2021,051p3,Darius Bazley,darius bazley,Des Moines,5150000,Fantrax alumni salary snapshot
2021,051ol,Darius Garland,darius garland,Austin,3950000,Fantrax alumni salary snapshot
2021,02nga,Darius Miller,darius miller,Vegas,1517981,Fantrax alumni salary snapshot
2021,04aqo,David Nwaba,david nwaba,Nashville,1620564,Fantrax alumni salary snapshot
2021,027pt,Davis Bertans,davis bertans,Columbus,16500000,Fantrax alumni salary snapshot
2021,049kb,De'Aaron Fox,deaaron fox,St. Louis,27285000,Fantrax alumni salary snapshot
2021,051ok,De'Andre Hunter,deandre hunter,Pittsburgh,2962760,Fantrax alumni salary snapshot
2021,04qsm,De'Anthony Melton,deanthony melton,Lincoln,5855000,Fantrax alumni salary snapshot
2021,005l3,DeAndre Jordan,deandre jordan,Buffalo,3850000,Fantrax alumni salary snapshot
2021,042ng,DeAndre' Bembry,deandre bembry,Lincoln,2000000,Fantrax alumni salary snapshot
2021,01eon,DeMar DeRozan,demar derozan,Pittsburgh,38199000,Fantrax alumni salary snapshot
2021,01uz3,DeMarcus Cousins,demarcus cousins,Little Rock,3500000,Fantrax alumni salary snapshot
2021,0529c,Dean Wade,dean wade,Lincoln,1517981,Fantrax alumni salary snapshot
2021,049kd,Deandre Ayton,deandre ayton,Honolulu,27285000,Fantrax alumni salary snapshot
2021,042nq,Dejounte Murray,dejounte murray,Albuquerque,20000000,Fantrax alumni salary snapshot
2021,03r7h,Delon Wright,delon wright,Des Moines,3250000,Fantrax alumni salary snapshot
2021,05qtj,Deni Avdija,deni avdija,St. Louis,8200000,Fantrax alumni salary snapshot
2021,031m4,Dennis Schroder,dennis schroder,Birmingham,16000000,Fantrax alumni salary snapshot
2021,049s5,Dennis Smith,dennis smith,Albuquerque,1620564,Fantrax alumni salary snapshot
2021,042na,Denzel Valentine,denzel valentine,Vancouver,1620564,Fantrax alumni salary snapshot
2021,01uyt,Derrick Favors,derrick favors,Baltimore,3623000,Fantrax alumni salary snapshot
2021,048zt,Derrick Jones,derrick jones,Anaheim,6976878,Fantrax alumni salary snapshot
2021,005ka,Derrick Rose,derrick rose,Kentucky,12000000,Fantrax alumni salary snapshot
2021,04ewt,Derrick White,derrick white,Baltimore,12200000,Fantrax alumni salary snapshot
2021,05qt3,Desmond Bane,desmond bane,Tulsa,8000000,Fantrax alumni salary snapshot
2021,03nwm,Devin Booker,devin booker,Cincinnati,27285000,Fantrax alumni salary snapshot
2021,05qtr,Devin Vassell,devin vassell,Tampa Bay,3623000,Fantrax alumni salary snapshot
2021,04qsb,Devonte' Graham,devonte graham,Birmingham,18000000,Fantrax alumni salary snapshot
2021,04ex8,Dillon Brooks,dillon brooks,Lansing,7158000,Fantrax alumni salary snapshot
2021,042n7,Domantas Sabonis,domantas sabonis,Columbus,21000000,Fantrax alumni salary snapshot
2021,04ewe,Donovan Mitchell,donovan mitchell,San Jose,27285000,Fantrax alumni salary snapshot
2021,04qru,Donte DiVincenzo,donte divincenzo,Anaheim,8976878,Fantrax alumni salary snapshot
2021,043ib,Dorian Finney-Smith,dorian finney-smith,Boise,5753000,Fantrax alumni salary snapshot
2021,03avi,Doug McDermott,doug mcdermott,Buffalo,4450000,Fantrax alumni salary snapshot
2021,02nfz,Draymond Green,draymond green,Nashville,20000000,Fantrax alumni salary snapshot
2021,04xdu,Drew Eubanks,drew eubanks,Lansing,1620564,Fantrax alumni salary snapshot
2021,04s00,Duncan Robinson,duncan robinson,Boise,15000000,Fantrax alumni salary snapshot
2021,04ex3,Dwayne Bacon,dwayne bacon,Nashville,3000000,Fantrax alumni salary snapshot
2021,0018a,Dwight Howard,dwight howard,San Jose,1620564,Fantrax alumni salary snapshot
2021,03e79,Dwight Powell,dwight powell,Columbus,2867000,Fantrax alumni salary snapshot
2021,051p6,Dylan Windler,dylan windler,Vancouver,1445697,Fantrax alumni salary snapshot
2021,027q4,E'Twaun Moore,etwaun moore,Nashville,2331593,Fantrax alumni salary snapshot
2021,04exf,Edmond Sumner,edmond sumner,Des Moines,1517981,Fantrax alumni salary snapshot
2021,03e6m,Elfrid Payton,elfrid payton,Albuquerque,5000000,Fantrax alumni salary snapshot
2021,05qta,Elijah Hughes,elijah hughes,Manchester,898310,Fantrax alumni salary snapshot
2021,027p2,Enes Kanter,enes kanter,Boise,2331594,Fantrax alumni salary snapshot
2021,01uyx,Eric Bledsoe,eric bledsoe,Lansing,20000000,Fantrax alumni salary snapshot
2021,005kf,Eric Gordon,eric gordon,Nashville,9000000,Fantrax alumni salary snapshot
2021,051pl,Eric Paschall,eric paschall,Austin,2270000,Fantrax alumni salary snapshot
2021,01g61,Ersan Ilyasova,ersan ilyasova,Anchorage,1517981,Fantrax alumni salary snapshot
2021,02nfk,Evan Fournier,evan fournier,Buffalo,9510000,Fantrax alumni salary snapshot
2021,05qv8,Facundo Campazzo,facundo campazzo,St. Louis,1000000,Fantrax alumni salary snapshot
2021,04ewv,Frank Jackson,frank jackson,Manchester,1620564,Fantrax alumni salary snapshot
2021,04848,Fred VanVleet,fred vanvleet,Pittsburgh,27285000,Fantrax alumni salary snapshot
2021,042nl,Furkan Korkmaz,furkan korkmaz,Seattle,1620564,Fantrax alumni salary snapshot
2021,05g3q,Gabe Vincent,gabe vincent,Providence,1517981,Fantrax alumni salary snapshot
2021,01ng2,Garrett Temple,garrett temple,Cincinnati,1620564,Fantrax alumni salary snapshot
2021,052fs,Garrison Mathews,garrison mathews,St. Louis,1445697,Fantrax alumni salary snapshot
