team,edition,jersey_color,shorts_color,trim_color,accent_color,wordmark_color,number_color,number_outline_color,player_name_color,stripe_style,shorts_stripe_style,collar_style,wordmark,wordmark_font,font_family,font_path,number,player_name,number_outline_width,trim_width,logo_team,shorts_logo_scale,show_shorts_logo,show_league_mark,show_jersey_logo,jersey_logo_x,jersey_logo_y,jersey_logo_scale,front_number_x,front_number_y,template_version,front_wordmark_size,front_number_size,back_name_size,back_number_size,front_wordmark_x,front_wordmark_y,back_name_x,back_name_y,back_number_x,back_number_y
Albuquerque,Association,#FFFFFF,#FFFFFF,#D72C2C,#281B0D,#D72C2C,#D72C2C,#D72C2C,#D72C2C,Side panels,Side panels,Crew,ARMADILLOS,SBC League,Bungee,,27,PLAYER,4,3.4,Albuquerque,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Albuquerque,Icon,#D72C2C,#D72C2C,#281B0D,#FFFFFF,#FFFFFF,#FFFFFF,#281B0D,#FFFFFF,Double side,Double side,Crew,ALBUQUERQUE,Albuquerque,Amatic SC,,27,PLAYER,4,3.4,Albuquerque,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Albuquerque,Statement,#281B0D,#281B0D,#D72C2C,#FFFFFF,#FFFFFF,#FFFFFF,#D72C2C,#FFFFFF,Sash,Chevron,Crew,,Albuquerque,Amatic SC,,27,PLAYER,4,3.4,Albuquerque,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anaheim,Association,#FFFFFF,#FFFFFF,#DA0F10,#FFB1B1,#DA0F10,#DA0F10,#DA0F10,#DA0F10,Side panels,Side panels,Crew,MICE,SBC League,Bungee,,27,PLAYER,4,3.4,Anaheim,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anaheim,Icon,#DA0F10,#DA0F10,#FFB1B1,#FFFFFF,#FFFFFF,#FFFFFF,#FFB1B1,#FFFFFF,Double side,Double side,Crew,ANAHEIM,Anaheim,Baloo 2,,27,PLAYER,4,3.4,Anaheim,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anaheim,Statement,#FFB1B1,#FFB1B1,#DA0F10,#FFFFFF,#FFFFFF,#FFFFFF,#DA0F10,#FFFFFF,Sash,Chevron,Crew,,Anaheim,Baloo 2,,27,PLAYER,4,3.4,Anaheim,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anchorage,Association,#FFFFFF,#FFFFFF,#454B55,#B8C4C4,#454B55,#454B55,#454B55,#454B55,Side panels,Side panels,Crew,KILLER WHALES,SBC League,Bungee,,27,PLAYER,4,3.4,Anchorage,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anchorage,Icon,#454B55,#454B55,#B8C4C4,#FFFFFF,#FFFFFF,#FFFFFF,#B8C4C4,#FFFFFF,Double side,Double side,Crew,ANCHORAGE,Anchorage,Fjalla One,,27,PLAYER,4,3.4,Anchorage,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Anchorage,Statement,#B8C4C4,#B8C4C4,#454B55,#FFFFFF,#FFFFFF,#FFFFFF,#454B55,#FFFFFF,Sash,Chevron,Crew,,Anchorage,Fjalla One,,27,PLAYER,4,3.4,Anchorage,0.75,True,True,True,12.0,15.0,0.7,0.0,51.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
Austin,Association,#FFFFFF,#FFFFFF,#040404,#BB8549,#040404,#040404,#040404,#040404,Side panels,Side panels,Crew,BATS,SBC League,Bungee,,27,PLAYER,4,3.4,Austin,0.75,True,True,True,12.0,15.0,0.7,0.0,45.0,4,35.0,60.0,36.0,80.0,0.0,29.0,0.0,18.0,0.0,43.0
