fantraxId,fantrax_name,espn_player_id,espn_name,note
05uj1,Cameron Thomas,4432174,Cam Thomas,Fantrax formal name vs ESPN short name
051pb,Nicolas Claxton,4278067,Nic Claxton,Fantrax formal name vs ESPN short name
05qym,Kenyon Martin,4431828,KJ Martin,Fantrax omits commonly used ESPN name
04exk,Aleksandar Vezenkov,3893014,Sasha Vezenkov,Fantrax full name vs ESPN common name
06mjx,Ron Holland,4683771,Ronald Holland II,Fantrax short name vs ESPN full name
06mk6,Carlton Carrington,4845374,Bub Carrington,Fantrax formal name vs ESPN common name
05uue,Ishmail Wainright,3059307,Ish Wainright,Fantrax full name vs ESPN short name
00107,Rajon Rondo,3026,Rajon Rondo,Historical player missing from current Fantrax snapshot
00129,Carmelo Anthony,1975,Carmelo Anthony,Historical player missing from current Fantrax snapshot
0014u,Trevor Ariza,2426,Trevor Ariza,Historical player missing from current Fantrax snapshot
0015a,Rudy Gay,3005,Rudy Gay,Historical player missing from current Fantrax snapshot
0018a,Dwight Howard,2384,Dwight Howard,Historical player missing from current Fantrax snapshot
0018d,JJ Redick,3024,JJ Redick,Historical player missing from current Fantrax snapshot
0018m,Andre Iguodala,2386,Andre Iguodala,Historical player missing from current Fantrax snapshot
0018n,Lou Williams,2799,Lou Williams,Historical player missing from current Fantrax snapshot
0018r,Thaddeus Young,3244,Thaddeus Young,Historical player missing from current Fantrax snapshot
0019g,LaMarcus Aldridge,2983,LaMarcus Aldridge,Historical player missing from current Fantrax snapshot
001bo,Paul Millsap,3015,Paul Millsap,Historical player missing from current Fantrax snapshot
004zd,Marc Gasol,3206,Marc Gasol,Historical player missing from current Fantrax snapshot
005ka,Derrick Rose,3456,Derrick Rose,Historical player missing from current Fantrax snapshot
005ke,Danilo Gallinari,3428,Danilo Gallinari,Historical player missing from current Fantrax snapshot
005kh,D.J. Augustin,3415,D.J. Augustin,Historical player missing from current Fantrax snapshot
005le,Robin Lopez,3447,Robin Lopez,Historical player missing from current Fantrax snapshot
005ll,George Hill,3438,George Hill,Historical player missing from current Fantrax snapshot
005lm,Goran Dragic,3423,Goran Dragic,Historical player missing from current Fantrax snapshot
005lx,JaVale McGee,3452,JaVale McGee,Historical player missing from current Fantrax snapshot
01en2,Jeff Teague,4015,Jeff Teague,Historical player missing from current Fantrax snapshot
01ena,Danny Green,3988,Danny Green,Historical player missing from current Fantrax snapshot
01enn,Blake Griffin,3989,Blake Griffin,Historical player missing from current Fantrax snapshot
01ens,Patrick Beverley,3964,Patrick Beverley,Historical player missing from current Fantrax snapshot
01enw,Ricky Rubio,4011,Ricky Rubio,Historical player missing from current Fantrax snapshot
01eny,Wayne Ellington,3981,Wayne Ellington,Historical player missing from current Fantrax snapshot
01g61,Ersan Ilyasova,2767,Ersan Ilyasova,Historical player missing from current Fantrax snapshot
01ngg,Wesley Matthews,4032,Wesley Matthews,Historical player missing from current Fantrax snapshot
01scu,Patrick Patterson,4264,Patrick Patterson,Historical player missing from current Fantrax snapshot
01uz4,Hassan Whiteside,4262,Hassan Whiteside,Historical player missing from current Fantrax snapshot
01uz6,Ed Davis,4259,Ed Davis,Historical player missing from current Fantrax snapshot
01uz9,Nemanja Bjelica,4269,Nemanja Bjelica,Historical player missing from current Fantrax snapshot
0201u,Ish Smith,4305,Ish Smith,Historical player missing from current Fantrax snapshot
027os,Kemba Walker,6479,Kemba Walker,Historical player missing from current Fantrax snapshot
027q4,E'Twaun Moore,6460,E'Twaun Moore,Historical player missing from current Fantrax snapshot
027q9,Isaiah Thomas,6472,Isaiah Thomas,Historical player missing from current Fantrax snapshot
02gxr,Brad Wanamaker,6507,Brad Wanamaker,Historical player missing from current Fantrax snapshot
02nf8,Terrence Ross,6619,Terrence Ross,Historical player missing from current Fantrax snapshot
02ng7,Mike Scott,6622,Mike Scott,Historical player missing from current Fantrax snapshot
02x1k,Justin Holiday,2284101,Justin Holiday,Historical player missing from current Fantrax snapshot
02yf5,Aron Baynes,2968439,Aron Baynes,Historical player missing from current Fantrax snapshot
031mu,Mike Muscala,2490089,Mike Muscala,Historical player missing from current Fantrax snapshot
03scs,Boban Marjanovic,4376,Boban Marjanovic,Historical player missing from current Fantrax snapshot
051p1,Brandon Clarke,3906665,Brandon Clarke,Historical player missing from current Fantrax snapshot
027p2,Enes Kanter,6447,Enes Freedom,Player changed surname in ESPN records
06hdz,Nathan Mensah,4397371,Nate Mensah,Fantrax formal name vs ESPN short name
