Prior Season,Player ID,Player,From,Last Date,Next Season,Next Period,Next Date,To,Classification
2021,000zv,Al Horford,Lansing,2021-05-16,2022,1,2021-10-19,El Paso,Documented release/signing
2022,000zv,Al Horford,El Paso,2022-04-10,2023,1,2022-10-18,El Paso,Continued
2023,000zv,Al Horford,Albuquerque,2023-04-09,2024,1,2023-10-24,Columbus,Missing expiration
2024,000zv,Al Horford,Columbus,2024-04-03,2025,1,2024-10-22,San Jose,Missing expiration
2025,000zv,Al Horford,San Jose,2025-04-02,2026,1,2025-10-21,San Jose,Continued
2026,000zv,Al Horford,San Jose,2026-04-01,2027,1,2026-10-20,El Paso,Missing expiration + move
2027,000zv,Al Horford,El Paso,2027-04-11,,,,,Missing expiration
2021,00107,Rajon Rondo,Cincinnati,2021-05-16,2022,1,2021-10-19,Cincinnati,Continued
2022,00107,Rajon Rondo,Honolulu,2022-04-10,,,,,Missing expiration
2021,0011e,LeBron James,Buffalo,2021-05-16,2022,1,2021-10-19,Albuquerque,Documented release/signing
2022,0011e,LeBron James,Albuquerque,2022-04-10,2023,1,2022-10-18,Albuquerque,Continued
2023,0011e,LeBron James,Albuquerque,2023-04-09,2024,1,2023-10-24,Albuquerque,Continued
2024,0011e,LeBron James,Albuquerque,2024-04-03,2025,1,2024-10-22,Columbus,Missing expiration
2025,0011e,LeBron James,Columbus,2025-04-02,2026,1,2025-10-21,Columbus,Continued
2026,0011e,LeBron James,Columbus,2026-04-01,2027,1,2026-10-20,Vegas,Missing expiration + move
2027,0011e,LeBron James,Vegas,2027-04-11,,,,,Missing expiration
2021,00129,Carmelo Anthony,Albuquerque,2021-05-16,2022,1,2021-10-19,San Jose,Documented release/signing
2022,00129,Carmelo Anthony,San Jose,2022-04-10,2023,1,2022-10-18,Columbus,Missing expiration
2021,0014u,Trevor Ariza,Columbus,2021-05-16,2022,1,2021-10-19,Kentucky,Documented release/signing
2022,0014u,Trevor Ariza,Kentucky,2022-04-10,,,,,Missing expiration
2021,0015a,Rudy Gay,Pittsburgh,2021-05-16,2022,1,2021-10-19,Seattle,Documented release/signing
2022,0015a,Rudy Gay,Seattle,2022-04-10,2023,1,2022-10-18,Seattle,Continued
2023,0015a,Rudy Gay,Seattle,2023-04-09,,,,,Missing expiration
2021,0015b,Kyle Lowry,Columbus,2021-05-16,2022,1,2021-10-19,Columbus,Continued
2022,0015b,Kyle Lowry,Columbus,2022-04-10,2023,1,2022-10-18,Columbus,Continued
2023,0015b,Kyle Lowry,Jacksonville,2023-04-09,2024,1,2023-10-24,El Paso,Missing expiration
2024,0015b,Kyle Lowry,El Paso,2024-04-03,2025,1,2024-10-22,El Paso,Continued
2025,0015b,Kyle Lowry,El Paso,2025-04-02,2026,1,2025-10-21,St. Louis,Missing expiration
2021,0015e,Mike Conley,Tampa Bay,2021-05-16,2022,1,2021-10-19,Tampa Bay,Continued
2022,0015e,Mike Conley,St. Louis,2022-04-10,2023,1,2022-10-18,Kentucky,Missing expiration
2023,0015e,Mike Conley,Providence,2023-04-09,2024,1,2023-10-24,Providence,Continued
2024,0015e,Mike Conley,Providence,2024-04-03,2025,1,2024-10-22,Columbus,Missing expiration
2025,0015e,Mike Conley,Columbus,2025-04-02,2026,5,2025-10-25,Manchester,Missing expiration
2026,0015e,Mike Conley,Kentucky,2026-04-01,2027,1,2026-10-20,Des Moines,Missing expiration + move
2027,0015e,Mike Conley,Des Moines,2027-04-11,,,,,Missing expiration
2021,0017e,Chris Paul,Vegas,2021-05-16,2022,1,2021-10-19,Vegas,Continued
2022,0017e,Chris Paul,Vegas,2022-04-10,2023,1,2022-10-18,Vegas,Continued
2023,0017e,Chris Paul,Anaheim,2023-04-09,2024,1,2023-10-24,Anaheim,Continued
2024,0017e,Chris Paul,Anaheim,2024-04-03,2025,1,2024-10-22,Anaheim,Continued
2025,0017e,Chris Paul,Anaheim,2025-04-02,2026,1,2025-10-21,Anaheim,Continued
2021,0018a,Dwight Howard,San Jose,2021-05-16,2022,1,2021-10-19,El Paso,Documented release/signing
2022,0018a,Dwight Howard,Austin,2022-04-10,,,,,Missing expiration
2021,0018d,JJ Redick,Vegas,2021-05-16,,,,,Missing expiration
2021,0018m,Andre Iguodala,El Paso,2021-05-16,2022,1,2021-10-19,Lincoln,Documented release/signing
2022,0018m,Andre Iguodala,Lincoln,2022-04-10,2023,91,2023-01-16,Cincinnati,Missing expiration
2023,0018m,Andre Iguodala,Cincinnati,2023-04-09,,,,,Missing expiration
2021,0018n,Lou Williams,Kentucky,2021-05-16,2022,1,2021-10-19,Jacksonville,Documented release/signing
2022,0018n,Lou Williams,Tulsa,2022-04-10,,,,,Missing expiration
2021,0018r,Thaddeus Young,El Paso,2021-05-16,2022,1,2021-10-19,El Paso,Continued
2022,0018r,Thaddeus Young,El Paso,2022-04-10,2023,1,2022-10-18,El Paso,Continued
2023,0018r,Thaddeus Young,Albuquerque,2023-04-09,2024,1,2023-10-24,Vegas,Missing expiration
2024,0018r,Thaddeus Young,Cincinnati,2024-04-03,,,,,Missing expiration
2021,0019g,LaMarcus Aldridge,Pittsburgh,2021-05-16,2022,1,2021-10-19,Kentucky,Documented release/signing
2022,0019g,LaMarcus Aldridge,Kentucky,2022-04-10,,,,,Missing expiration
2021,001aw,Kevin Durant,Tampa Bay,2021-05-16,2022,1,2021-10-19,Tampa Bay,Continued
