Season,Date,Period,Player ID,Player,Team,Source
2021,2020-12-22,1,000zv,Al Horford,Tampa Bay,Fantrax transaction
2021,2020-12-22,1,00107,Rajon Rondo,Vancouver,Original signing
2021,2020-12-22,1,0011e,LeBron James,Buffalo,Original signing
2021,2020-12-22,1,00129,Carmelo Anthony,Albuquerque,Original signing
2021,2020-12-22,1,0014u,Trevor Ariza,Lansing,Original signing
2021,2020-12-22,1,0015a,Rudy Gay,Pittsburgh,Original signing
2021,2020-12-22,1,0015b,Kyle Lowry,Des Moines,Original signing
2021,2020-12-22,1,0015e,Mike Conley,Anchorage,Original signing
2021,2020-12-22,1,0017e,Chris Paul,Vegas,Original signing
2021,2020-12-22,1,0018a,Dwight Howard,San Jose,Original signing
2021,2020-12-22,1,0018d,JJ Redick,Vegas,Original signing
2021,2020-12-22,1,0018m,Andre Iguodala,El Paso,Original signing
2021,2020-12-22,1,0018n,Lou Williams,Anchorage,Original signing
2021,2020-12-22,1,0018r,Thaddeus Young,El Paso,Original signing
2021,2020-12-22,1,0019g,LaMarcus Aldridge,Pittsburgh,Original signing
2021,2020-12-22,1,001aw,Kevin Durant,Lansing,Original signing
2021,2020-12-22,1,001ax,Jeff Green,Providence,Original signing
2021,2020-12-22,1,001bj,Kyle Korver,Providence,Original signing
2021,2020-12-22,1,001bo,Paul Millsap,Birmingham,Original signing
2021,2020-12-22,1,004zd,Marc Gasol,El Paso,Original signing
2021,2020-12-22,1,005ka,Derrick Rose,Anchorage,Original signing
2021,2020-12-22,1,005kc,Russell Westbrook,El Paso,Original signing
2021,2020-12-22,1,005kd,Kevin Love,Anchorage,Original signing
2021,2020-12-22,1,005ke,Danilo Gallinari,Vegas,Original signing
2021,2020-12-22,1,005kf,Eric Gordon,Nashville,Original signing
2021,2020-12-22,1,005kh,D.J. Augustin,Pittsburgh,Original signing
2021,2020-12-22,1,005ki,Brook Lopez,Kentucky,Original signing
2021,2020-12-22,1,005l0,Nicolas Batum,Vancouver,Original signing
2021,2020-12-22,1,005l3,DeAndre Jordan,Buffalo,Original signing
2021,2021-01-04,14,005le,Robin Lopez,Vegas,Fantrax transaction
2021,2020-12-22,1,005ll,George Hill,Lincoln,Original signing
2021,2020-12-22,1,005lm,Goran Dragic,Lincoln,Original signing
2021,2020-12-22,1,005lo,Serge Ibaka,El Paso,Original signing
2021,2020-12-22,1,005lx,JaVale McGee,Albuquerque,Original signing
2021,2020-12-22,1,01en2,Jeff Teague,Des Moines,Original signing
2021,2020-12-22,1,01en7,James Johnson,Columbus,Original signing
2021,2021-02-26,67,01en8,Taj Gibson,Buffalo,Fantrax transaction
2021,2020-12-22,1,01ena,Danny Green,Tulsa,Original signing
2021,2020-12-22,1,01enh,Stephen Curry,Little Rock,Original signing
2021,2020-12-22,1,01enn,Blake Griffin,Austin,Original signing
2021,2020-12-22,1,01ens,Patrick Beverley,Anaheim,Original signing
2021,2020-12-22,1,01enw,Ricky Rubio,Boise,Original signing
2021,2021-01-08,18,01eny,Wayne Ellington,Des Moines,Fantrax transaction
2021,2020-12-22,1,01eo6,James Harden,Birmingham,Original signing
2021,2020-12-22,1,01eo9,Jrue Holiday,Des Moines,Original signing
2021,2020-12-22,1,01eog,Patty Mills,Vancouver,Original signing
2021,2020-12-22,1,01eon,DeMar DeRozan,Pittsburgh,Original signing
2021,2021-03-31,100,01g61,Ersan Ilyasova,Anchorage,Fantrax transaction
2021,2020-12-26,5,01ng2,Garrett Temple,Tampa Bay,Fantrax transaction
2021,2020-12-22,1,01ngg,Wesley Matthews,San Jose,Original signing
2021,2020-12-22,1,01sc8,John Wall,Lansing,Original signing
2021,2021-03-31,100,01scu,Patrick Patterson,Anchorage,Fantrax transaction
2021,2020-12-22,1,01uyd,Avery Bradley,Albuquerque,Original signing
2022,2022-02-11,116,01uyg,Greg Monroe,El Paso,Fantrax transaction
2021,2020-12-22,1,01uyj,Paul George,Columbus,Original signing
2021,2020-12-22,1,01uyk,Al-Farouq Aminu,Vegas,Original signing
2021,2020-12-22,1,01uyt,Derrick Favors,Baltimore,Original signing
2021,2020-12-22,1,01uyx,Eric Bledsoe,San Diego,Original signing
2021,2020-12-22,1,01uz3,DeMarcus Cousins,Little Rock,Original signing
2021,2020-12-22,1,01uz4,Hassan Whiteside,Providence,Original signing
2021,2021-01-04,14,01uz6,Ed Davis,Anaheim,Fantrax transaction
2021,2020-12-22,1,01uz7,Gordon Hayward,El Paso,Original signing
2021,2020-12-22,1,01uz9,Nemanja Bjelica,Columbus,Original signing
2022,2022-01-11,85,01uza,Lance Stephenson,San Jose,Fantrax transaction
2021,2020-12-22,1,0201u,Ish Smith,Little Rock,Original signing
2021,2020-12-22,1,027oj,Kyrie Irving,Tampa Bay,Original signing
2021,2020-12-22,1,027om,Tristan Thompson,San Jose,Original signing
2021,2020-12-22,1,027oo,Jonas Valanciunas,Lincoln,Original signing
2021,2020-12-22,1,027oq,Bismack Biyombo,Albuquerque,Original signing
2021,2020-12-22,1,027os,Kemba Walker,Buffalo,Original signing
2021,2020-12-22,1,027ou,Klay Thompson,Providence,Original signing
2021,2020-12-22,1,027ov,Alec Burks,Tampa Bay,Original signing
2021,2020-12-22,1,027ox,Markieff Morris,San Jose,Original signing
2021,2020-12-22,1,027oy,Marcus Morris,San Jose,Original signing
2021,2020-12-22,1,027oz,Kawhi Leonard,Seattle,Original signing
2021,2020-12-22,1,027p0,Nikola Vucevic,Kentucky,Original signing
2021,2020-12-22,1,027p2,Enes Kanter,Boise,Original signing
2021,2020-12-22,1,027p4,Tobias Harris,Vegas,Original signing
2021,2020-12-22,1,027p9,Reggie Jackson,Tulsa,Original signing
2021,2020-12-22,1,027pe,Jimmy Butler,Nashville,Original signing
2021,2020-12-22,1,027pf,Cory Joseph,Pittsburgh,Original signing
2021,2020-12-22,1,027pg,Bojan Bogdanovic,Vancouver,Original signing
2021,2020-12-22,1,027pt,Davis Bertans,San Diego,Original signing
2021,2020-12-22,1,027q4,E'Twaun Moore,Nashville,Original signing
