chopped_rank,position,position_rank,player,previous_rank,rank_change,survival_score_gain,score_mc_se,survival_weeks_gain,championship_lift_pct,start_when_alive_available_pct,late_start_when_alive_available_pct,expected_original_team_starts,expected_original_team_points,paired_trials,team,bye,baseline_half_ppr_points,ir_note,news_snapshot,source_url
1,RB,1,Bijan Robinson,2,1,3.098,0.264,2.832,3.32,99.7,97.2,9.54,194.67,512,ATL,11,330.29,,,
2,RB,2,Jonathan Taylor,4,2,2.781,0.276,2.391,4.88,98.6,88.3,9.4,167.51,512,IND,13,289.06,,,
3,RB,3,Jahmyr Gibbs,1,-2,2.689,0.255,2.205,6.05,99.2,94.8,8.82,170.51,512,DET,6,337.1,,,
4,RB,4,Christian McCaffrey,3,-1,2.65,0.26,2.369,3.52,98.8,90.5,8.89,157.53,512,SF,8,295.56,,,
5,RB,5,Derrick Henry,8,3,2.602,0.271,2.305,3.71,97.1,76.3,9.22,148.92,512,BAL,13,264.64,,,
6,RB,6,Ashton Jeanty,12,6,2.516,0.271,2.172,4.3,95.9,72.2,8.95,140.53,512,LV,13,246.93,,,
7,RB,7,Saquon Barkley,15,8,2.352,0.256,2.164,2.34,95.8,71.7,8.26,122.29,512,PHI,10,243.6,,,
8,RB,8,Jeremiyah Love,18,10,2.328,0.276,2.094,2.93,92.5,47.2,8.93,125.23,512,ARI,14,227.95,,,
9,WR,1,Ja'Marr Chase,6,-3,2.139,0.256,1.857,3.52,98.9,89.5,8.25,137.52,512,CIN,6,275.06,,,
10,RB,9,Chase Brown,14,4,2.092,0.245,1.92,2.15,96.1,75.1,8.26,126.04,512,CIN,6,246.94,,,
11,WR,2,Jaxon Smith-Njigba,7,-4,1.883,0.253,1.695,2.34,99,91.5,8.66,140.93,512,SEA,11,269.03,,,
12,WR,3,Amon-Ra St. Brown,11,-1,1.877,0.249,1.643,2.93,97.4,79.9,8.16,124.66,512,DET,6,261.17,,,
13,RB,10,De'Von Achane,9,-4,1.832,0.234,1.707,1.56,96.9,77.6,7.92,124.76,512,MIA,6,259.74,,,
14,WR,4,Puka Nacua,5,-9,1.736,0.25,1.643,1.17,99.1,91.6,8.34,138.3,512,LAR,11,281.3,,,
15,RB,11,Javonte Williams,28,13,1.697,0.262,1.416,3.52,89.1,30.7,8.42,112.62,512,DAL,14,218.1,,,
16,WR,5,Drake London,16,0,1.633,0.239,1.539,1.17,96.9,77.5,8.26,121.16,512,ATL,11,236.21,,,
17,WR,6,CeeDee Lamb,27,10,1.617,0.23,1.43,2.34,95.2,58.8,8,108.4,512,DAL,14,223.99,,,
18,WR,7,George Pickens,29,11,1.604,0.219,1.354,3.13,91.5,39.4,7.97,107.24,512,DAL,14,210.9,,,
19,RB,12,Breece Hall,24,5,1.543,0.262,1.309,2.93,90.6,46.9,8.31,114.72,512,NYJ,13,222.58,,,
20,RB,13,Kyren Williams,25,5,1.512,0.283,1.262,3.13,89.2,46,8.46,112.69,512,LAR,11,223.5,,,
21,RB,14,Cam Skattebo,30,9,1.453,0.226,1.297,1.95,85.1,34.7,7.38,95.27,512,NYG,8,217.41,,,
22,RB,15,James Cook III,13,-9,1.439,0.252,1.439,0,96.1,70.6,7.85,119.72,512,BUF,7,253.93,,,
23,QB,1,Josh Allen,10,-13,1.414,0.274,1.398,0.2,92.7,78,7.54,194.91,512,BUF,7,415.86,,,
24,RB,16,Travis Etienne Jr.,33,9,1.398,0.249,1.32,0.98,84.7,37.4,7.48,99.85,512,NO,8,210.14,,,
25,TE,1,Brock Bowers,20,-5,1.377,0.226,1.299,0.98,92.7,60.8,8.22,98.32,512,LV,13,195.59,,,
26,RB,17,Kenneth Walker III,17,-9,1.355,0.253,1.309,0.59,91.5,53.6,7.57,107.07,512,KC,5,234.95,,,
27,RB,18,D'Andre Swift,37,10,1.326,0.245,1.139,2.34,84.4,42.4,7.56,97.9,512,CHI,10,205.24,,,
28,WR,8,A.J. Brown,32,4,1.313,0.24,1.063,3.13,91.6,61.3,7.81,105.8,512,NE,11,211.62,,,
29,RB,19,Omarion Hampton,22,-7,1.275,0.219,1.275,0,92.3,55.1,7.69,107.49,512,LAC,7,229.29,,,
30,QB,2,Lamar Jackson,26,-4,1.262,0.27,1.074,2.34,76.7,51.8,6.67,157.81,512,BAL,13,371.45,,,
31,WR,9,Nico Collins,36,5,1.203,0.227,1.219,-0.2,90.3,53,7.29,93.43,512,HOU,8,207.7,,,
32,RB,20,Quinshon Judkins,43,11,1.162,0.215,1.021,1.76,82.7,32,7.17,91.08,512,CLE,11,198.46,,,
