position,player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,total
QB,Josh Allen,24.46,24.46,24.46,24.46,24.46,24.46,0,24.46,24.46,24.46,24.46,24.46,24.46,24.46,24.46,24.46,24.46,391.4
QB,Lamar Jackson,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,21.85,0,21.85,21.85,21.85,21.85,349.6
QB,Drake Maye,21.68,21.68,21.68,21.68,21.68,21.68,21.68,21.68,21.68,21.68,0,21.68,21.68,21.68,21.68,21.68,0,325.22
QB,Joe Burrow,21.53,21.53,21.53,21.53,21.53,0,21.53,21.53,21.53,21.53,21.53,21.53,21.53,21.53,21.53,0,0,301.46
QB,Jalen Hurts,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,21.28,0,21.28,21.28,21.28,21.28,0,0,0,276.62
QB,Dak Prescott,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,20.97,0,0,0,0,272.55
QB,Jayden Daniels,21.13,21.13,21.13,21.13,21.13,21.13,0,21.13,21.13,21.13,21.13,21.13,21.13,0,0,0,0,253.57
QB,Matthew Stafford,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,20.79,0,0,0,0,0,0,0,207.85
QB,Brock Purdy,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0,20.5,20.5,20.5,0,0,0,0,0,0,204.99
QB,Patrick Mahomes II,20.45,20.45,20.45,20.45,0,20.45,20.45,20.45,20.45,20.45,20.45,0,0,0,0,0,0,204.54
QB,Caleb Williams,20.41,20.41,20.41,20.41,20.41,20.41,20.41,20.41,0,0,0,0,0,0,0,0,0,163.26
QB,Trevor Lawrence,20.42,20.42,20.42,20.42,20.42,20.42,0,20.42,0,0,0,0,0,0,0,0,0,142.94
QB,Jaxson Dart,20.2,20.2,20.2,20.2,20.2,20.2,20.2,0,0,0,0,0,0,0,0,0,0,141.39
QB,Bo Nix,20.06,20.06,20.06,20.06,20.06,20.06,20.06,0,0,0,0,0,0,0,0,0,0,140.4
QB,Jared Goff,20.07,20.07,20.07,20.07,20.07,0,20.07,0,0,0,0,0,0,0,0,0,0,120.4
QB,Justin Herbert,20.01,20.01,20.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03
QB,Baker Mayfield,18.89,18.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78
QB,Tyler Shough,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8
RB,Jahmyr Gibbs,19.83,19.83,19.83,19.83,19.83,0,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,19.83,317.27
RB,Bijan Robinson,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,19.43,0,19.43,19.43,19.43,19.43,19.43,19.43,310.86
RB,Christian McCaffrey,17.39,17.39,17.39,17.39,17.39,17.39,17.39,0,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,17.39,278.17
RB,Jonathan Taylor,17,17,17,17,17,17,17,17,17,17,17,17,0,17,17,17,17,272.06
RB,Derrick Henry,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,15.57,0,15.57,15.57,15.57,15.57,249.07
RB,De'Von Achane,15.28,15.28,15.28,15.28,15.28,0,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,15.28,244.46
RB,James Cook III,14.94,14.94,14.94,14.94,14.94,14.94,0,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,0,224.06
RB,Chase Brown,14.53,14.53,14.53,14.53,14.53,0,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,0,217.89
RB,Ashton Jeanty,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,14.53,0,14.53,14.53,14.53,0,217.88
RB,Saquon Barkley,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,0,14.33,14.33,14.33,14.33,14.33,0,0,200.61
RB,Kenneth Walker III,13.82,13.82,13.82,13.82,0,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,13.82,0,0,193.49
RB,Josh Jacobs,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,13.57,0,13.57,13.57,13.57,13.57,0,0,189.91
RB,Omarion Hampton,13.49,13.49,13.49,13.49,13.49,13.49,0,13.49,13.49,13.49,13.49,13.49,13.49,13.49,0,0,0,175.34
RB,Jeremiyah Love,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,13.41,0,0,0,0,174.31
RB,Kyren Williams,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,13.15,0,13.15,13.15,13.15,0,0,0,170.91
RB,Breece Hall,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,13.09,0,13.09,0,0,0,170.21
RB,Javonte Williams,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,12.83,0,0,0,0,166.78
RB,Cam Skattebo,12.79,12.79,12.79,12.79,12.79,12.79,12.79,0,12.79,12.79,12.79,12.79,12.79,0,0,0,0,153.47
RB,Travis Etienne Jr.,12.36,12.36,12.36,12.36,12.36,12.36,12.36,0,12.36,12.36,12.36,12.36,12.36,0,0,0,0,148.33
RB,D'Andre Swift,12.07,12.07,12.07,12.07,12.07,12.07,12.07,12.07,12.07,0,12.07,12.07,12.07,0,0,0,0,144.88
RB,Bucky Irving,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,11.96,0,11.96,11.96,11.96,0,0,0,0,143.57
RB,Quinshon Judkins,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,11.67,0,0,0,0,0,0,0,116.74
