chopped_rank,tier,position,position_rank,player,team,bye,roster_pool,chopped_value,baseline_half_ppr_projection,modeled_available_points,projection_floor,projection_ceiling,expected_starts,expected_starting_points,week_1_start_pct,week_8_start_pct,week_14_start_pct,week_17_start_pct,ir_priority,news_adjustment,source_url
1,1,RB,1,Jahmyr Gibbs,DET,6,Starter pool,1000,337.1,316.39,313.29,359.7,15.08,304.56,100,99.4,91.9,66,,,
2,1,RB,2,Bijan Robinson,ATL,11,Starter pool,981,330.29,314.29,310.24,358.6,15.07,302.37,99.9,99.4,91.6,65.1,,,
3,1,RB,3,Christian McCaffrey,SF,8,Starter pool,747,295.56,275.25,275.5,310.1,14.22,253.58,99.9,0,81.8,45.8,,,
4,1,RB,4,Jonathan Taylor,IND,13,Starter pool,741,289.06,273.08,262.1,321.19,14.25,251.64,99.9,98.5,80.2,44,,,
5,1,WR,1,Puka Nacua,LAR,11,Starter pool,688,281.3,264.81,278.9,284.9,14.42,245.87,99.9,98.6,83,52,,,
6,1,WR,2,Ja'Marr Chase,CIN,6,Starter pool,665,275.06,260.64,264.5,286.09,14.24,239.7,99.9,98.4,81.3,48.3,,,
7,1,WR,3,Jaxon Smith-Njigba,SEA,11,Starter pool,627,269.03,254.32,252.72,288.95,14.08,231.6,99.9,98.1,78.9,45.1,,,
8,1,RB,5,Derrick Henry,BAL,13,Starter pool,609,264.64,250.05,238.75,291.04,13.54,221.65,99.4,96,71.6,32.8,,,
9,1,RB,6,De'Von Achane,MIA,6,Starter pool,592,259.74,248.28,228.1,299.45,13.27,216.99,99.4,96,70,31.8,,,
10,1,QB,1,Josh Allen,BUF,7,Starter pool,583,415.86,395.86,392.94,447.96,12.27,319.94,96.1,87.9,61.2,36.1,,,
11,1,WR,4,Amon-Ra St. Brown,DET,6,Starter pool,582,261.17,246.67,253.7,270.07,13.76,220.75,99.8,97.5,74.9,40.2,,,
12,1,RB,7,Ashton Jeanty,LV,13,Starter pool,544,246.93,238.14,218.4,289.88,13.04,205.03,99.2,94.4,64.5,27.3,,,
13,2,RB,8,James Cook III,BUF,7,Starter pool,536,253.93,238.58,238.7,266.26,12.9,203.79,99.1,94.8,65.6,26.6,,,
14,2,RB,9,Chase Brown,CIN,6,Starter pool,502,246.94,232.2,222.8,271.7,12.56,194.42,98.9,93.3,61.2,24.5,,,
15,2,RB,10,Saquon Barkley,PHI,10,Starter pool,492,243.6,229.95,226.3,262.11,12.53,191.83,99.1,92.7,59.8,23.1,,,
16,2,WR,5,Drake London,ATL,11,Starter pool,468,236.21,225.98,214.47,270.3,12.81,190.91,99.4,94.3,62,27.4,,,
17,2,RB,11,Kenneth Walker III,KC,5,Starter pool,432,234.95,219.02,215,250.51,11.87,175.18,98.4,90.3,53.1,18.1,,,
18,2,RB,12,Jeremiyah Love,ARI,14,Starter pool,429,227.95,215.7,203.8,252.82,12.11,174.93,97.9,89.6,0,16.2,,,
19,2,TE,1,Trey McBride,ARI,14,Starter pool,415,199.96,187.71,185.73,213.6,13.13,163.26,98,91.9,0,36.6,,,
20,2,TE,2,Brock Bowers,LV,13,Starter pool,406,195.59,186.82,182.2,214.3,13,161.33,97.4,91.4,69.3,36.4,,,
21,2,WR,6,Rashee Rice,KC,5,Starter pool,397,224.61,213.04,192.8,260.18,11.92,169.79,98.9,91.5,52.3,20,,,
22,2,RB,13,Omarion Hampton,LAC,7,Starter pool,397,229.29,212.57,205.2,245.5,11.51,165.59,97.8,88.8,48,15.6,,,
23,2,WR,7,Justin Jefferson,MIN,6,Starter pool,390,223.09,212.2,213,239.03,11.9,168.67,98.9,91.3,52.6,19.2,,,
24,2,RB,14,Breece Hall,NYJ,13,Starter pool,387,222.58,208.27,196.3,246.17,11.51,162.51,97.1,86.8,46.3,14.1,,,
25,2,RB,15,Kyren Williams,LAR,11,Starter pool,386,223.5,209.83,211.81,236.1,11.47,162.77,98,88,46.8,14.4,,,
26,2,QB,2,Lamar Jackson,BAL,13,Starter pool,379,371.45,355.14,338.16,418.83,9.77,236.29,87.4,71.3,37.7,16.3,,,
27,2,WR,8,CeeDee Lamb,DAL,14,Starter pool,378,223.99,206.83,195.8,243.95,11.99,165.28,98.1,89.5,0,16.9,,,
28,2,RB,16,Javonte Williams,DAL,14,Starter pool,377,218.1,205.47,199.4,240.07,11.48,159.77,97,85.9,0,12.6,,,
29,2,WR,9,George Pickens,DAL,14,Starter pool,356,210.9,202.49,187.4,245.8,11.72,158.55,98.4,87.7,0,14.7,,,
30,2,RB,17,Cam Skattebo,NYG,8,Starter pool,352,217.41,203.28,192.69,240,10.92,151.83,96.7,0,43,11.5,,,
