player,team,position,player_key,projected_points,source_high_points,source_low_points,modeled_floor,modeled_ceiling,projection_range,position_rank,overall_projection_rank,fantasypros_points,modeled_average_fg_distance,historical_made_kicks,kicker_distance_source,expected_pa_bucket_points,fantasypros_roster_rank,fantasypros_position_rank,fantasypros_listed_points,fantasypros_injury_status,fantasypros_roster_pool,projected_starter_pool,projected_starter_role,starter_context_market_rank,custom_minus_fantasypros_listed_points
Josh Allen,BUF,QB,joshallen,415.86,447.96,392.94,392.94,447.96,55.02,1,1,372.5,,,,0.0,6.0,1.0,416.0,,True,True,QB,6,-0.14
Lamar Jackson,BAL,QB,lamarjackson,371.45,418.83,338.16,338.16,418.83,80.67,2,3,324.9,,,,0.0,26.0,2.0,372.0,,True,True,QB,26,-0.55
Drake Maye,NE,QB,drakemaye,368.58,389.19,342.7,342.7,389.19,46.49,3,5,323.0,,,,0.0,30.0,3.0,369.0,,True,True,QB,30,-0.42
Joe Burrow,CIN,QB,joeburrow,366.06,384.08,351.82,351.82,384.08,32.26,4,6,310.9,,,,0.0,33.0,4.0,366.0,,True,True,QB,33,0.06
Jalen Hurts,PHI,QB,jalenhurts,361.74,391.35,338.22,338.22,391.35,53.13,5,7,320.5,,,,0.0,36.0,5.0,361.0,,True,True,QB,36,0.74
Jayden Daniels,WAS,QB,jaydendaniels,359.22,391.34,328.12,328.12,391.34,63.22,6,8,322.6,,,,0.0,40.0,6.0,359.0,,True,True,QB,40,0.22
Dak Prescott,DAL,QB,dakprescott,356.42,382.59,334.2,334.2,382.59,48.39,7,9,306.2,,,,0.0,42.0,7.0,357.0,,True,True,QB,42,-0.58
Matthew Stafford,LAR,QB,matthewstafford,353.35,370.21,335.76,335.76,370.21,34.45,8,10,294.0,,,,0.0,46.0,8.0,353.0,,True,True,QB,46,0.35
Brock Purdy,SF,QB,brockpurdy,348.49,378.73,324.97,324.97,378.73,53.76,9,11,307.5,,,,0.0,50.0,9.0,349.0,,True,True,QB,50,-0.51
Patrick Mahomes II,KC,QB,patrickmahomes,347.72,377.64,325.38,325.38,377.64,52.26,10,12,304.3,,,,0.0,52.0,10.0,348.0,DTD,True,True,QB,52,-0.28
Trevor Lawrence,JAC,QB,trevorlawrence,347.13,385.4,319.7,319.7,385.4,65.7,11,13,306.2,,,,0.0,53.0,11.0,347.0,,True,True,QB,53,0.13
Caleb Williams,CHI,QB,calebwilliams,346.94,371.44,326.82,326.82,371.44,44.62,12,14,301.4,,,,0.0,54.0,12.0,347.0,,True,True,QB,54,-0.06
Jaxson Dart,NYG,QB,jaxsondart,343.37,379.82,314.46,314.46,379.82,65.36,13,15,310.0,,,,0.0,57.0,13.0,343.0,,True,False,,,0.37
