"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Houston Texans","","49.5","14.4","11.6","18.3","2.8","1.0","322.1","5053.6","120.3"
"","high","57.1","16.0","14.0","20.0","3.2","1.0","325.0","4654.0","238.3"
"","low","43.4","12.3","10.0","16.7","2.1","1.0","319.0","5453.3","126.0"
"Denver Broncos","","59.8","13.3","8.3","12.3","2.4","0.5","319.3","4842.7","118.3"
"","high","73.0","15.0","10.0","14.0","2.9","1.0","326.0","4237.0","276.4"
"","low","45.3","12.0","6.8","10.5","2.0","0.0","314.0","5448.3","121.0"
"Minnesota Vikings","","49.3","12.6","12.1","18.1","2.4","0.0","361.1","5301.8","112.8"
"","high","61.4","14.0","16.0","22.0","3.1","0.0","380.4","4655.0","206.0"
"","low","38.6","10.7","9.2","14.1","2.0","0.0","346.0","5948.5","74.3"
"Pittsburgh Steelers","","46.0","13.2","12.5","18.7","2.4","0.0","347.4","5440.3","111.9"
"","high","50.5","16.0","16.0","23.0","3.0","0.0","364.0","5385.0","158.5"
"","low","43.6","11.7","9.4","14.5","2.0","0.0","319.3","5495.7","118.0"
"Seattle Seahawks","","46.5","13.6","8.4","13.5","3.2","0.5","314.4","5108.2","110.9"
"","high","51.0","14.0","12.0","16.0","4.0","1.0","331.1","4707.0","229.0"
"","low","42.4","12.9","6.0","11.1","2.7","0.0","299.0","5509.5","112.0"
"Los Angeles Chargers","","48.9","15.3","8.7","12.6","2.0","0.0","366.6","5474.0","108.6"
"","high","59.9","17.0","9.0","13.0","2.8","0.0","379.0","5117.0","160.7"
"","low","39.7","12.8","8.0","12.3","1.0","0.0","350.0","5831.1","93.4"
"Los Angeles Rams","","46.5","13.8","9.5","14.5","2.3","0.5","347.2","5237.9","108.0"
"","high","51.9","16.0","12.0","16.0","2.9","1.0","368.0","5008.0","227.3"
"","low","43.7","12.3","8.0","13.0","2.0","0.0","331.7","5467.8","106.0"
"Detroit Lions","","48.0","13.4","9.0","13.9","2.2","0.5","374.6","5456.9","106.8"
"","high","59.5","14.0","10.0","14.0","3.4","1.0","400.0","5224.0","161.9"
"","low","39.6","12.3","8.0","13.8","1.0","0.0","335.7","5689.8","103.0"
"Buffalo Bills","","42.7","14.6","9.6","12.7","2.4","0.5","392.7","5726.1","106.6"
"","high","47.3","17.0","11.0","15.0","3.0","1.0","414.0","5317.0","151.3"
"","low","40.0","11.8","6.8","10.5","2.0","0.0","367.0","6135.2","58.5"
"Philadelphia Eagles","","42.5","13.0","10.0","14.4","2.4","0.0","323.6","5266.7","102.6"
"","high","46.4","15.0","13.0","18.0","3.0","0.0","332.9","4964.0","222.4"
"","low","39.0","11.9","7.0","10.8","2.0","0.0","317.0","5569.4","104.0"
"Baltimore Ravens","","46.1","12.8","9.3","14.1","2.0","0.0","356.9","5267.3","102.0"
"","high","49.4","13.0","12.0","16.0","2.8","0.0","374.0","5028.0","184.2"
"","low","43.8","12.4","7.9","12.1","1.0","0.0","329.6","5506.6","99.0"
"Atlanta Falcons","","46.0","12.3","8.1","12.7","2.3","0.5","423.6","5669.5","101.6"
"","high","60.3","14.0","10.0","14.0","2.7","1.0","448.0","5226.0","158.5"
"","low","37.8","11.0","7.0","11.4","2.0","0.0","410.7","6112.9","60.0"
"Cleveland Browns","","46.3","12.1","8.6","12.8","2.2","0.0","387.7","5195.2","101.1"
"","high","52.9","13.0","11.0","15.0","2.5","0.0","412.0","4713.0","183.9"
"","low","41.1","11.4","6.9","10.6","2.0","0.0","341.0","5677.3","97.0"
"Chicago Bears","","39.1","14.1","10.6","16.6","2.1","0.0","390.5","5913.3","101.0"
"","high","42.6","15.0","13.0","18.0","3.1","0.0","399.0","5898.5","151.2"
"","low","36.0","13.2","9.0","15.1","1.0","0.0","377.4","5928.0","89.0"
"New Orleans Saints","","45.1","12.2","8.8","12.8","2.3","0.0","395.5","5451.6","100.9"
"","high","55.1","13.0","12.0","16.0","2.8","0.0","436.0","5081.0","189.9"
"","low","38.2","11.6","6.3","9.7","2.0","0.0","360.6","5822.2","90.6"
"Jacksonville Jaguars","","37.1","13.9","9.6","13.7","2.6","0.0","387.1","5481.7","99.9"
"","high","41.4","16.0","12.0","17.0","3.5","0.0","388.4","5070.0","172.0"
"","low","33.0","12.6","6.8","10.4","2.0","0.0","385.0","5893.4","81.4"
"Cincinnati Bengals","","41.2","13.1","9.8","13.4","2.1","0.0","413.3","5840.3","99.8"
"","high","47.1","14.0","13.0","17.0","3.1","0.0","436.0","5711.0","151.7"
"","low","38.0","12.3","6.3","9.8","1.0","0.0","375.0","5969.5","73.5"
