"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Trey McBride","ARI","108.9","1051.1","6.8","0.2","254.3"
"","high","115.0","1081.0","8.0","0.0","307.8"
"","low","104.0","1023.3","5.4","0.5","243.0"
"Brock Bowers","LV","96.6","1026.9","7.5","0.2","244.1"
"","high","103.0","1088.0","9.0","0.0","298.9"
"","low","88.0","994.0","6.6","0.4","238.7"
"Colston Loveland","CHI","79.1","927.5","6.7","0.2","211.4"
"","high","84.0","1037.0","8.0","0.0","236.4"
"","low","73.0","848.0","6.0","0.4","204.8"
"Tyler Warren","IND","79.0","878.1","5.5","0.3","199.2"
"","high","85.0","904.0","6.0","0.0","231.6"
"","low","74.0","836.0","5.0","0.6","204.0"
"Kyle Pitts Sr.","ATL","79.5","880.9","4.7","0.1","195.7"
"","high","82.0","929.0","7.0","0.0","227.1"
"","low","76.0","856.0","3.2","0.3","184.2"
"Harold Fannin Jr.","CLE","78.7","816.3","5.4","0.8","191.1"
"","high","83.0","829.0","8.0","0.6","227.3"
"","low","76.0","801.0","3.2","1.0","183.3"
"Sam LaPorta","DET","70.4","813.9","5.5","0.2","184.1"
"","high","78.3","910.0","6.0","0.0","205.4"
"","low","61.0","745.0","5.0","0.4","180.7"
"Travis Kelce","KC","74.9","785.7","4.8","0.3","182.1"
"","high","78.0","815.0","6.0","0.0","212.5"
"","low","73.0","771.0","4.0","0.5","178.7"
"Dallas Goedert","PHI","65.5","688.9","7.6","0.2","179.4"
"","high","70.6","725.7","11.0","0.0","201.5"
"","low","58.0","625.0","5.7","0.4","172.0"
"Tucker Kraft","GB","61.5","785.8","6.5","0.2","178.4"
"","high","71.4","818.4","10.0","0.0","193.5"
"","low","56.0","724.0","4.4","0.5","170.8"
"George Kittle","SF","66.3","753.4","5.7","0.2","175.7"
"","high","72.0","845.0","7.0","0.0","190.3"
"","low","57.0","655.0","5.0","0.3","173.3"
"Jake Ferguson","DAL","73.9","606.4","5.9","1.4","167.4"
"","high","78.0","636.0","7.0","0.8","197.9"
"","low","71.0","585.0","5.0","2.0","166.9"
"Mark Andrews","BAL","59.7","618.5","7.7","0.3","167.2"
"","high","61.0","645.0","10.0","0.0","190.7"
"","low","58.0","593.0","6.0","0.5","171.0"
"Isaiah Likely","NYG","62.8","745.2","5.0","1.3","165.0"
"","high","69.0","897.0","7.0","0.5","181.8"
"","low","56.0","656.0","4.0","2.0","155.1"
"Dalton Kincaid","BUF","57.1","706.8","5.5","0.2","160.2"
"","high","60.0","778.0","7.0","0.0","177.6"
"","low","52.0","645.0","4.4","0.5","153.2"
"Juwan Johnson","NO","64.7","730.4","3.3","1.3","154.7"
"","high","71.0","870.0","4.0","0.6","180.3"
"","low","60.0","645.1","2.8","2.0","145.1"
"Brenton Strange","JAC","60.0","661.2","4.3","0.2","151.8"
"","high","70.0","814.0","5.0","0.0","166.6"
"","low","51.0","571.0","4.0","0.4","143.4"
"Hunter Henry","NE","55.6","645.2","5.1","0.1","150.4"
"","high","56.0","684.0","5.2","0.0","175.5"
"","low","55.0","624.0","5.0","0.2","146.6"
"Dalton Schultz","HOU","65.8","628.7","3.4","0.2","148.6"
"","high","71.0","684.0","4.0","0.0","181.9"
"","low","59.5","556.2","3.0","0.4","139.8"
"T.J. Hockenson","MIN","63.9","574.5","3.3","0.2","140.6"
"","high","77.7","639.4","4.0","0.0","168.2"
"","low","55.0","516.0","2.8","0.3","131.9"
"Pat Freiermuth","PIT","53.0","560.0","4.3","0.2","134.1"
"","high","59.9","603.1","5.0","0.0","166.1"
"","low","46.0","511.0","2.8","0.5","127.0"
"Greg Dulcich","MIA","54.6","620.0","3.2","1.2","133.5"
"","high","58.0","674.0","4.0","0.4","166.2"
"","low","51.7","580.0","1.7","2.0","122.0"
"Cade Otton","TB","54.8","557.8","3.1","0.1","128.9"
"","high","67.0","708.0","4.0","0.0","151.8"
"","low","44.5","440.3","2.3","0.3","112.4"
"Kenyon Sadiq","NYJ","49.7","546.6","4.1","0.7","127.3"
"","high","63.2","656.8","6.0","0.4","140.6"
"","low","39.0","455.0","2.0","1.0","126.7"
"Chig Okonkwo","WAS","52.8","569.8","2.8","0.1","126.2"
"","high","54.0","630.0","3.0","0.0","149.7"
"","low","51.3","519.0","2.4","0.3","122.7"
"AJ Barner","SEA","48.6","469.9","4.9","0.2","124.4"
"","high","54.0","504.0","7.0","0.0","150.0"
"","low","44.7","432.7","3.6","0.5","117.6"
"Terrance Ferguson","LAR","37.3","516.8","4.8","0.2","117.4"
"","high","45.9","580.3","5.4","0.0","127.2"
"","low","29.0","440.0","4.0","0.3","113.3"
"Evan Engram","DEN","53.4","475.9","2.7","0.1","117.1"
"","high","57.0","484.0","3.0","0.0","148.3"
"","low","47.3","464.8","2.2","0.3","110.4"
"Gunnar Helm","TEN","48.9","444.1","3.1","0.2","111.6"
"","high","57.7","499.2","3.3","0.0","134.9"
"","low","44.0","378.0","3.0","0.4","96.9"
"Oronde Gadsden II","LAC","40.4","509.2","3.2","0.6","109.2"
"","high","49.0","689.0","4.0","0.2","137.1"
"","low","30.3","321.7","2.5","1.0","87.4"
"Mike Gesicki","CIN","41.4","434.3","3.6","0.1","106.1"
"","high","49.0","540.0","4.0","0.0","131.9"
"","low","32.2","312.9","3.0","0.2","95.0"
"Darren Waller","CAR","37.4","392.8","4.3","0.1","102.5"
"","high","45.0","473.5","6.0","0.0","111.4"
"","low","24.0","237.0","3.0","0.2","91.1"
"Mason Taylor","NYJ","45.8","403.5","2.4","0.1","100.6"
"","high","56.0","481.0","4.0","0.0","130.9"
"","low","31.5","268.5","1.3","0.2","80.6"
"David Njoku","LAC","38.3","363.2","4.3","0.1","100.1"
"","high","42.0","416.7","6.0","0.0","106.3"
"","low","33.0","269.0","3.0","0.3","99.7"
"Colby Parkinson","LAR","34.3","352.5","4.0","0.6","92.5"
"","high","41.0","435.0","6.0","0.3","103.3"
"","low","28.0","291.5","3.0","1.0","81.7"
"Michael Mayer","LV","40.0","378.0","2.1","0.1","90.2"
"","high","43.0","420.0","3.0","0.0","121.5"
"","low","37.0","350.0","1.3","0.3","79.0"
"Dawson Knox","BUF","28.6","331.7","2.9","0.1","79.2"
"","high","35.0","401.0","3.0","0.0","92.5"
"","low","24.9","265.0","2.8","0.1","71.9"
"Theo Johnson","NYG","27.5","313.7","2.9","0.1","75.9"
"","high","33.0","390.0","5.0","0.0","87.5"
"","low","24.0","269.0","1.6","0.1","63.8"
"Darnell Washington","PIT","30.7","329.1","2.0","0.6","74.1"
"","high","35.0","383.0","2.0","0.3","85.6"
"","low","26.0","299.0","1.9","1.0","70.7"
"Tyler Higbee","LAR","26.1","306.5","2.4","0.0","71.2"
"","high","40.0","499.0","4.0","0.0","91.1"
"","low","15.3","154.4","1.3","0.1","48.9"
"Erick All Jr.","CIN","30.5","268.6","1.9","0.1","68.8"
"","high","35.0","302.0","2.0","0.0","65.1"
"","low","25.9","235.3","1.9","0.2","63.5"
"Cole Kmet","CHI","26.2","274.1","2.2","0.1","66.8"
"","high","35.0","374.0","3.0","0.0","99.1"
"","low","21.7","219.2","1.7","0.1","53.2"
"Noah Fant","NO","29.3","274.5","1.6","1.6","63.2"
"","high","44.0","423.0","2.0","0.1","80.3"
"","low","16.9","145.4","0.8","3.0","48.5"
"Will Kacmarek","MIA","26.6","251.2","1.9","0.6","61.8"
"","high","35.0","328.0","3.0","0.1","66.6"
"","low","18.1","174.4","0.8","1.0","48.4"
"Elijah Arroyo","SEA","23.6","240.1","1.9","0.2","58.4"
"","high","24.1","264.2","2.0","0.2","68.7"
"","low","23.0","216.0","1.7","0.2","60.1"
"Austin Hooper","ATL","22.5","236.4","1.6","0.1","55.7"
"","high","25.0","283.0","2.0","0.0","70.0"
"","low","20.6","181.2","0.8","0.1","45.4"
"Charlie Kolar","LAC","20.2","230.3","2.0","0.1","55.4"
"","high","25.0","333.0","4.0","0.0","68.2"
"","low","14.7","148.8","1.0","0.1","41.8"
"Josh Oliver","MIN","18.6","194.3","2.4","0.1","52.1"
"","high","22.0","244.0","4.0","0.0","58.6"
"","low","16.7","150.8","1.1","0.1","40.3"
"Daniel Bellinger","TEN","19.3","222.3","1.8","0.0","52.0"
"","high","26.0","332.0","3.0","0.0","61.3"
"","low","12.7","112.6","0.5","0.1","33.4"
"Brock Wright","DET","19.9","175.6","2.3","0.0","51.2"
"","high","32.0","279.0","4.0","0.0","62.9"
"","low","7.7","72.2","0.6","0.0","30.7"
"Noah Gray","KC","21.0","211.8","1.5","0.1","51.0"
"","high","26.1","262.3","2.0","0.0","67.4"
"","low","15.0","139.0","1.0","0.1","33.0"
"Eli Stowers","PHI","20.9","214.5","1.4","0.6","49.6"
"","high","31.0","322.0","2.0","0.1","52.9"
"","low","10.8","106.9","0.8","1.0","39.1"
"Tommy Tremble","CAR","20.7","189.3","1.6","0.1","49.3"
"","high","23.0","202.0","2.0","0.0","45.9"
"","low","18.4","176.6","1.3","0.1","44.7"
"Jake Tonges","SF","19.1","199.9","1.5","0.1","48.0"
"","high","25.0","265.0","2.0","0.1","70.1"
"","low","13.2","134.7","1.0","0.1","38.7"
"Adam Trautman","DEN","19.3","197.7","1.5","0.0","47.9"
"","high","27.0","282.0","2.0","0.0","50.3"
"","low","11.7","113.3","1.0","0.1","36.5"
"Luke Musgrave","GB","20.5","200.5","1.1","0.0","47.2"
"","high","28.0","269.0","2.0","0.0","67.4"
"","low","7.5","67.4","0.4","0.1","29.2"
"Ja'Tavion Sanders","CAR","21.5","190.4","1.0","0.1","46.6"
"","high","25.0","215.0","1.1","0.0","59.0"
"","low","19.5","164.3","1.0","0.1","39.5"
"Eli Raridon","NE","18.8","192.8","1.5","0.6","46.2"
"","high","22.0","235.0","2.0","0.1","43.8"
"","low","15.6","150.5","1.1","1.0","40.3"
"Elijah Higgins","ARI","22.0","196.0","0.8","0.6","45.4"
"","high","23.0","210.0","1.0","0.2","44.0"
"","low","20.9","182.1","0.7","1.0","39.0"
"Ben Sims","MIA","19.5","184.6","1.2","0.0","44.9"
"","high","32.0","304.0","2.0","0.0","52.5"
"","low","7.0","65.3","0.3","0.1","27.9"
"Marlin Klein","HOU","19.5","192.7","1.1","0.5","44.4"
"","high","35.0","349.0","2.0","0.0","56.5"
"","low","4.0","36.3","0.2","1.0","24.4"
"Davis Allen","LAR","16.9","157.3","1.9","0.0","43.8"
"","high","26.0","241.0","3.0","0.0","50.9"
"","low","7.8","73.7","0.7","0.1","28.6"
"John Bates","WAS","17.1","169.9","1.6","0.6","42.4"
"","high","20.0","204.0","2.0","0.1","40.1"
"","low","14.1","135.8","1.2","1.0","37.5"
"Jeremy Ruckert","NYJ","19.7","146.3","1.3","0.0","41.9"
"","high","27.0","196.0","2.0","0.0","43.7"
"","low","12.4","96.7","0.6","0.1","32.6"
"Nate Boerkircher","JAC","14.9","156.8","1.3","0.5","37.2"
"","high","22.0","240.0","2.0","0.1","40.9"
"","low","7.8","73.6","0.6","1.0","25.6"
"Connor Heyward","LV","14.0","103.0","2.0","0.0","36.3"
"","high","14.0","103.0","2.0","0.0","37.0"
"","low","14.0","103.0","2.0","0.0","37.0"
"Drew Sample","CIN","15.2","123.2","1.1","0.1","33.9"
"","high","17.3","146.3","1.2","0.0","36.7"
"","low","13.0","100.0","1.0","0.1","25.2"
"Cade Stover","HOU","15.2","128.2","0.9","0.1","33.2"
"","high","15.5","134.3","1.0","0.0","34.6"
"","low","15.0","122.0","0.8","0.1","27.2"
"Nate Adkins","DEN","11.9","88.4","1.8","0.0","31.7"
"","high","16.0","108.0","3.0","0.0","33.9"
"","low","7.8","68.8","0.7","0.1","22.8"
"Nick Vannett","SEA","10.0","95.0","2.0","0.0","31.5"
"","high","10.0","95.0","2.0","0.0","26.0"
"","low","10.0","95.0","2.0","0.0","26.0"
