"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Puka Nacua","LAR","117.0","1539.0","9.0","13.6","85.0","1.4","1.0","339.8"
"","high","117.0","1539.0","9.0","15.9","85.0","2.0","1.0","343.5"
"","low","117.0","1539.0","9.0","10.0","85.0","1.0","1.0","337.4"
"Ja'Marr Chase","CIN","121.2","1511.6","10.6","3.0","17.0","0.0","1.0","336.0"
"","high","128.0","1552.0","11.0","4.0","20.9","0.1","0.9","393.7"
"","low","116.0","1474.0","10.0","2.0","11.0","0.0","1.0","328.2"
"Jaxon Smith-Njigba","SEA","110.9","1569.4","9.2","5.5","30.4","0.1","1.1","324.1"
"","high","116.7","1618.0","11.0","7.0","36.0","0.2","1.0","366.5"
"","low","105.0","1521.0","8.0","4.6","25.2","0.0","1.2","320.9"
"Amon-Ra St. Brown","DET","117.4","1390.9","10.5","3.1","11.8","0.0","0.4","319.8"
"","high","119.0","1425.7","11.0","4.0","14.0","0.1","0.0","376.0"
"","low","115.0","1370.0","10.0","2.3","8.0","0.0","0.8","312.4"
"Drake London","ATL","101.7","1327.6","9.1","0.0","0.0","0.0","1.0","287.1"
"","high","104.0","1421.0","13.0","0.0","0.0","0.0","0.9","324.4"
"","low","99.0","1249.7","7.0","0.0","0.0","0.0","1.0","269.4"
"Rashee Rice","KC","99.1","1101.0","9.7","5.4","25.6","0.9","0.6","274.1"
"","high","105.0","1134.0","13.0","8.3","42.8","2.0","0.0","300.8"
"","low","96.0","1052.0","7.0","0.0","0.0","0.0","1.2","273.8"
"CeeDee Lamb","DAL","97.5","1295.8","7.5","2.4","12.6","0.0","0.3","273.0"
"","high","103.4","1375.5","8.6","5.0","25.0","0.1","0.0","306.7"
"","low","87.0","1177.0","6.0","0.0","0.0","0.0","0.7","258.5"
"Justin Jefferson","MIN","98.9","1310.9","7.1","1.3","5.5","0.0","0.3","272.8"
"","high","110.8","1375.7","7.4","2.0","10.6","0.1","0.0","317.2"
"","low","91.0","1269.0","7.0","0.0","0.0","0.0","0.7","258.9"
"Chris Olave","NO","94.4","1183.4","7.9","0.3","0.0","0.0","0.3","259.5"
"","high","98.0","1242.0","10.0","1.0","0.0","0.0","0.0","294.4"
"","low","91.3","1110.0","6.7","0.0","0.0","0.0","0.6","253.7"
"A.J. Brown","NE","87.7","1221.7","7.7","0.0","0.0","0.0","0.3","255.2"
"","high","91.0","1296.0","9.0","0.0","0.0","0.0","0.0","288.2"
"","low","86.0","1155.0","7.0","0.0","0.0","0.0","0.6","250.2"
"George Pickens","DAL","82.5","1200.5","8.4","0.3","0.0","0.0","0.4","252.0"
"","high","94.0","1388.0","10.0","1.0","0.0","0.0","0.0","273.5"
"","low","74.0","1102.0","7.0","0.0","0.0","0.0","0.9","241.5"
"Nico Collins","HOU","82.5","1210.2","7.3","1.4","8.3","0.4","0.8","248.4"
"","high","86.5","1233.0","8.0","2.1","13.0","1.0","0.7","282.6"
"","low","79.0","1186.0","6.8","0.0","0.0","0.0","1.0","245.5"
"Garrett Wilson","NYJ","96.3","1095.8","6.4","1.1","4.3","0.0","1.0","242.9"
"","high","100.0","1176.3","9.0","2.2","10.8","0.1","1.0","291.8"
"","low","89.0","956.0","5.0","0.0","0.0","0.0","1.1","235.3"
"Zay Flowers","BAL","81.2","1157.2","6.5","9.9","58.8","0.5","1.5","241.8"
"","high","83.0","1183.0","8.0","10.0","60.0","1.0","1.0","274.3"
"","low","79.0","1117.0","5.5","9.8","57.4","0.0","2.0","238.3"
"Malik Nabers","NYG","81.0","1082.9","8.4","2.8","8.3","0.1","0.4","240.3"
"","high","86.1","1134.8","11.0","4.5","22.9","0.2","0.0","271.2"
"","low","76.0","1037.0","7.0","0.0","0.0","0.0","0.8","240.8"
"DeVonta Smith","PHI","87.8","1135.0","6.0","0.0","0.0","0.0","0.3","236.9"
"","high","90.5","1153.0","6.1","0.0","0.0","0.0","0.0","277.5"
"","low","83.0","1122.0","6.0","0.0","0.0","0.0","0.6","229.8"
"Tetairoa McMillan","CAR","81.2","1146.0","6.6","0.0","0.0","0.0","0.9","233.7"
"","high","83.6","1185.1","8.0","0.0","0.0","0.0","0.8","264.3"
"","low","78.0","1081.0","5.9","0.0","0.0","0.0","1.0","234.1"
"Emeka Egbuka","TB","73.2","1098.5","7.5","1.4","7.3","0.0","0.3","228.3"
"","high","78.0","1127.4","8.0","2.2","11.9","0.1","0.0","258.8"
"","low","69.6","1046.0","7.0","0.0","0.0","0.0","0.6","225.2"
