Player,SleeperID,PFRID,HeadshotURL,PFRHeadshotURL,MatchMethod,NeedsReview
A.J. Brown,5859,BrowAJ00,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",https://www.pro-football-reference.com/req/20230307/images/headshots/BrowAJ00_2025.jpg,Unique Name,False
A.J. Green,830,,,,,True
A.T. Perry,10863,PerrAT00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ctnvhmwcin0vif2gunca",https://www.pro-football-reference.com/req/20230307/images/headshots/PerrAT00_2025.jpg,Unique Name,False
Aaron Jones,4199,,,,,True
Aaron Rodgers,96,RodgAa00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dypvakakxhccxs67tb0y",https://www.pro-football-reference.com/req/20230307/images/headshots/RodgAa00_2025.jpg,Unique Name,False
Adam Randall,13302,RandAd00,,https://www.pro-football-reference.com/req/20230307/images/headshots/RandAd00_2025.jpg,Unique Name,False
Adam Thielen,1689,ThieAd00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pv6gajxtt6zhum2unnsl",https://www.pro-football-reference.com/req/20230307/images/headshots/ThieAd00_2025.jpg,Unique Name,False
Adam Trautman,6869,TrauAd00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ck9dspk0ykijetdshyn4",https://www.pro-football-reference.com/req/20230307/images/headshots/TrauAd00_2025.jpg,Unique Name,False
Adam Vinatieri,,vinatada01,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",https://www.pro-football-reference.com/req/20230307/images/headshots/vinatada01_2025.jpg,Unique Name,False
Adonai Mitchell,11625,MitcAd00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hwwacoa3pqapd7pgahfx",https://www.pro-football-reference.com/req/20230307/images/headshots/MitcAd00_2025.jpg,Unique Name,False
Aidan O'Connell,10866,OConAi00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bcejxo7ofgk5pszhup12",https://www.pro-football-reference.com/req/20230307/images/headshots/OConAi00_2025.jpg,Unique Name,False
Ainias Smith,11615,SmitAi00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iaetfkaakeblxepssyj9",https://www.pro-football-reference.com/req/20230307/images/headshots/SmitAi00_2025.jpg,Unique Name,False
AJ Barner,11603,BarnAJ00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ul77k5rqbqzd5zzqsaea",https://www.pro-football-reference.com/req/20230307/images/headshots/BarnAJ00_2025.jpg,Unique Name,False
AJ Dillon,6828,DillAJ00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nknt5pckn5mzq9ll660i",https://www.pro-football-reference.com/req/20230307/images/headshots/DillAJ00_2025.jpg,Unique Name,False
Albert Okwuegbunam,6843,OkwuAl00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gww1gus87vabpsalkrpc",https://www.pro-football-reference.com/req/20230307/images/headshots/OkwuAl00_2025.jpg,Unique Name,False
Aldrick Rosas,,RosaAl00,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jyjstniyvbv82ihgml4w",https://www.pro-football-reference.com/req/20230307/images/headshots/RosaAl00_2025.jpg,Unique Name,False
Alec Pierce,8142,PierAl00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zeghrjc8rir3r3zi6det",https://www.pro-football-reference.com/req/20230307/images/headshots/PierAl00_2025.jpg,Unique Name,False
Alexander Mattison,5987,MattAl01,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbcaep8diu9yuo3qrtiz",https://www.pro-football-reference.com/req/20230307/images/headshots/MattAl01_2025.jpg,Unique Name,False
Allen Lazard,5185,LazaAl00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b05f33npu1zjtpozfgdk",https://www.pro-football-reference.com/req/20230307/images/headshots/LazaAl00_2025.jpg,Unique Name,False
Allen Robinson,1992,RobiAl02,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyukft9lraurbsq0laom",https://www.pro-football-reference.com/req/20230307/images/headshots/RobiAl02_2025.jpg,Unique Name,False
Alvin Kamara,4035,KamaAl00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uay6uo9lonegelngihki",https://www.pro-football-reference.com/req/20230307/images/headshots/KamaAl00_2025.jpg,Unique Name,False
Amari Cooper,2309,CoopAm00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zmtzqznqui37unmo5xv9",https://www.pro-football-reference.com/req/20230307/images/headshots/CoopAm00_2025.jpg,Unique Name,False
Amari Rodgers,7540,RodgAm00,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g85ohsk2pgbf7xz2f1a8",https://www.pro-football-reference.com/req/20230307/images/headshots/RodgAm00_2025.jpg,Unique Name,False
Ameer Abdullah,2359,AbduAm00,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jvkgnlj5fn16mnmdyr4i",https://www.pro-football-reference.com/req/20230307/images/headshots/AbduAm00_2025.jpg,Unique Name,False
