Scorer,Assist1,Assist2
Kailer Yamamoto,Josh Doan,Logan Cooley
Kailer Yamamoto,Alexander Kerfoot,
Juuso Välimäki,Lawson Crouse,
Juuso Välimäki,Mikhail Sergachev,Jack McBain
Kevin Stenlund,Olli Määttä,Alexander Kerfoot
Kevin Stenlund,Mikhail Sergachev,John Marino
Kevin Stenlund,Alexander Kerfoot,Ian Cole
Kevin Stenlund,,
Kevin Stenlund,Nick Bjugstad,Michael Carcone
Kevin Stenlund,John Marino,Michael Carcone
Kevin Stenlund,Michael Kesselring,
Kevin Stenlund,Alexander Kerfoot,Mikhail Sergachev
Kevin Stenlund,Ian Cole,Michael Carcone
Kevin Stenlund,Lawson Crouse,
Kevin Stenlund,Michael Carcone,Olli Määttä
Kevin Stenlund,,
Kevin Stenlund,Olli Määttä,Alexander Kerfoot
Kevin Stenlund,Matias Maccelli,
Mikhail Sergachev,Kevin Stenlund,Sean Durzi
Mikhail Sergachev,John Marino,Lawson Crouse
Mikhail Sergachev,Karel Vejmelka,
Mikhail Sergachev,Jack McBain,
Mikhail Sergachev,Liam O'Brien,Kevin Stenlund
Mikhail Sergachev,Dylan Guenther,Barrett Hayton
Mikhail Sergachev,Nick Schmaltz,Logan Cooley
Mikhail Sergachev,Logan Cooley,
Mikhail Sergachev,Alexander Kerfoot,Michael Carcone
Mikhail Sergachev,Nick Schmaltz,Barrett Hayton
Mikhail Sergachev,Clayton Keller,Nick Schmaltz
Mikhail Sergachev,Clayton Keller,Alexander Kerfoot
Mikhail Sergachev,Dylan Guenther,Matias Maccelli
Mikhail Sergachev,Dylan Guenther,Nick Schmaltz
Mikhail Sergachev,Vladislav Kolyachonok,Logan Cooley
Nick Schmaltz,Barrett Hayton,Clayton Keller
Nick Schmaltz,Barrett Hayton,Dylan Guenther
Nick Schmaltz,Dylan Guenther,Mikhail Sergachev
Nick Schmaltz,Logan Cooley,Clayton Keller
Nick Schmaltz,Kevin Stenlund,John Marino
Nick Schmaltz,Olli Määttä,Clayton Keller
Nick Schmaltz,Clayton Keller,
Nick Schmaltz,Barrett Hayton,Clayton Keller
Nick Schmaltz,Logan Cooley,Clayton Keller
Nick Schmaltz,Barrett Hayton,Clayton Keller
Nick Schmaltz,Michael Kesselring,Clayton Keller
Nick Schmaltz,Clayton Keller,John Marino
Nick Schmaltz,Michael Kesselring,Logan Cooley
Nick Schmaltz,Clayton Keller,Nick DeSimone
Nick Schmaltz,Mikhail Sergachev,Logan Cooley
Nick Schmaltz,Logan Cooley,Clayton Keller
Nick Schmaltz,Michael Kesselring,Clayton Keller
Nick Schmaltz,Matias Maccelli,Nick Bjugstad
Nick Schmaltz,Clayton Keller,Barrett Hayton
Nick Schmaltz,Logan Cooley,Dylan Guenther
Jack McBain,Kailer Yamamoto,Sean Durzi
Jack McBain,Ian Cole,Josh Doan
Jack McBain,Michael Kesselring,Josh Doan
Jack McBain,Dylan Guenther,Logan Cooley
Jack McBain,Logan Cooley,Dylan Guenther
Jack McBain,Logan Cooley,Dylan Guenther
Jack McBain,Logan Cooley,Michael Kesselring
Jack McBain,Dylan Guenther,Logan Cooley
Jack McBain,Kevin Stenlund,Ian Cole
